ticker,VFRM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-06,55.0
2017-09-07,1.6129
2017-09-13,-4.7619
2017-09-18,10.0
2017-09-19,-4.5455
2017-09-21,7.9365
2017-09-22,-5.8824
2017-09-27,7.5
2017-09-29,-1.6047
2017-10-03,3.6989
2017-10-04,2.5641
2017-10-11,-16.6667
2017-10-19,0.0
2017-10-23,5.0
2017-11-03,1.5873
2017-11-06,0.9688
2017-11-07,19.1582
2017-11-09,66.2338
2017-11-10,12.5
2017-11-13,8.3333
2017-11-14,2.3077
2017-11-15,-6.7669
2017-11-16,8.0645
2017-11-17,-6.7164
2017-11-20,2.472
2017-11-21,-14.1229
2017-11-22,3.6364
2017-11-24,4.386
2017-11-27,-24.3697
2017-11-28,13.3333
2017-11-29,-18.352899999999998
2017-11-30,14.073
2017-12-01,10.526299999999999
2017-12-04,-10.4762
2017-12-05,-2.1277
2017-12-06,0.0
2017-12-07,4.3478
2017-12-08,1.0417
2017-12-11,-3.0928
2017-12-12,-6.383
2017-12-13,-1.1364
2017-12-14,-5.7471
2017-12-15,-8.5366
2017-12-18,9.3333
2017-12-19,9.7561
2017-12-20,-16.6667
2017-12-21,0.0
2017-12-22,0.0
2017-12-26,-5.3333
2017-12-27,0.0
2017-12-28,-4.2254
2017-12-29,1.4706000000000001
2018-01-02,-1.4493
2018-01-03,-5.8824
2018-01-04,-12.5
2018-01-05,-12.5
2018-01-08,0.0
2018-01-09,4.0816
2018-01-10,-1.9607999999999999
2018-01-12,14.0
2018-01-16,-21.0351
2018-01-17,2.1995
2018-01-18,4.3478
2018-01-19,2.0833
2018-01-22,-8.1633
2018-01-23,-4.4444
2018-01-24,4.6512
2018-01-25,-6.6667
2018-01-26,-2.3810000000000002
2018-01-29,-2.439
2018-01-30,7.5
2018-01-31,2.3256
2018-02-01,-11.3636
2018-02-02,15.3846
2018-02-05,-22.2222
2018-02-06,15.7286
2018-02-07,9.863
2018-02-08,14.6067
2018-02-09,17.647100000000002
2018-02-12,-16.6667
2018-02-13,24.0
2018-02-14,-9.6774
2018-02-16,0.0
2018-02-20,-5.3571
2018-02-21,-1.8868
2018-02-22,0.0
2018-02-23,-23.0769
2018-02-26,5.0
2018-02-27,16.6667
2018-02-28,6.1224
2018-03-01,-7.6923
2018-03-02,-2.0833
2018-03-05,-6.383
2018-03-06,-1.1364
2018-03-07,2.3218
2018-03-08,5.3696
2018-03-09,-6.1834
2018-03-12,6.8182
2018-03-13,4.2553
2018-03-14,-13.6735
