ticker,FBPA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-10-18,0.0
2002-11-06,0.0
2002-12-10,0.0
2003-01-14,9.6154
2003-01-30,0.0
2003-02-20,-3.5088
2003-03-14,3.6364
2003-03-20,1.7544
2003-03-27,4.8276
2003-04-08,-1.3158
2003-04-11,0.0
2003-04-14,0.0
2003-04-16,0.0
2003-05-27,0.0
2003-06-02,0.0
2003-06-16,5.3333
2003-06-17,-8.2278
2003-06-26,5.1724
2003-07-15,1.3115
2003-07-23,2.589
2003-07-31,-2.2082
2003-08-19,3.2258
2003-08-20,1.5625
2003-08-21,4.6154
2003-09-22,-2.9412000000000003
2003-10-02,1.5152
2003-10-06,0.0
2003-10-10,0.0
2003-10-13,1.4925
2003-10-17,-2.9412000000000003
2003-11-13,3.0303
2003-11-19,-1.4706000000000001
2003-11-21,1.4925
2003-12-12,0.0
2003-12-15,-1.4706000000000001
2003-12-22,0.0
2003-12-23,0.0
2003-12-29,-1.4925
2003-12-31,1.5152
2004-01-02,0.0
2004-01-13,1.4925
2004-01-26,-1.4706000000000001
2004-02-11,1.4925
2004-03-02,0.0
2004-03-11,-1.4706000000000001
2004-03-15,2.9851
2004-03-26,-2.8986
2004-03-31,1.4925
2004-04-01,0.0
2004-04-06,0.0
2004-04-13,0.0
2004-04-15,-4.4118
2004-04-26,3.0769
2004-05-03,1.4925
2004-05-14,-1.4706000000000001
2004-05-26,1.4925
2004-06-24,-2.9412000000000003
2004-06-30,4.5455
2004-07-15,2.029
2004-07-16,-0.5682
2004-07-19,-0.0571
2004-08-31,-1.3721999999999999
2004-10-20,0.0
2004-11-24,-1.4493
2004-11-30,0.0
2004-12-03,0.0
2004-12-30,1.4706000000000001
2005-01-13,-0.8696
2005-02-15,0.0
2005-02-28,3.8012
2005-03-16,1.4085
2005-03-17,1.3889
2005-03-23,-1.3699
2005-04-05,-2.7778
2005-04-20,2.8571
2005-04-21,2.7778
2005-04-22,0.0
2005-05-24,-2.7027
2005-05-25,0.0
2005-06-27,-2.7778
2005-06-28,0.0
2005-07-01,4.2857
2005-07-29,-2.7397
2005-08-09,-2.8169
2005-08-22,1.1594
2005-08-23,1.7191999999999998
2005-08-29,1.4085
2005-09-13,-1.3889
2005-09-30,5.6338
2005-10-26,-1.3333
2005-10-28,0.0
2005-11-01,1.8919000000000001
2005-11-04,-0.5305
2005-11-07,0.5333
2005-11-08,-0.5305
2005-11-21,-0.8
2005-12-12,-1.3441
2005-12-14,2.9973
2005-12-15,-1.5873
