ticker,BMNM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-16,5.8621
2004-09-17,0.1303
2004-09-20,-1.1061
2004-09-21,0.0
2004-09-22,0.0
2004-09-23,0.7895
2004-09-24,0.5222
2004-09-27,-0.1299
2004-09-28,0.3901
2004-09-29,0.7124
2004-09-30,1.3505
2004-10-01,0.8249
2004-10-04,0.3776
2004-10-05,-1.1912
2004-10-06,1.2056
2004-10-07,0.0
2004-10-08,0.0627
2004-10-11,0.2506
2004-10-12,0.1875
2004-10-13,-0.1871
2004-10-14,-0.6875
2004-10-15,0.1259
2004-10-18,0.5028
2004-10-19,-0.1251
2004-10-20,-2.0664
2004-10-21,0.3836
2004-10-22,-1.3376000000000001
2004-10-25,0.0646
2004-10-26,1.6129
2004-10-27,0.6984
2004-10-28,-0.6936
2004-10-29,1.2063
2004-11-01,-0.8156
2004-11-02,0.1898
2004-11-03,-0.2525
2004-11-04,0.0
2004-11-05,0.1899
2004-11-08,0.7581
2004-11-09,-0.4389
2004-11-10,0.3778
2004-11-11,-0.1255
2004-11-12,2.3869
2004-11-15,-0.6135
2004-11-16,-0.9259
2004-11-17,-0.3738
2004-11-18,-1.8136
2004-11-19,-2.4204
2004-11-22,2.2846
2004-11-23,0.1914
2004-11-24,-0.0637
2004-11-26,-0.1912
2004-11-29,0.0
2004-11-30,2.0434
2004-12-01,0.1252
2004-12-02,-0.3125
2004-12-03,0.0
2004-12-06,-0.0627
2004-12-07,-0.5019
2004-12-08,0.4414
2004-12-09,-0.3899
2004-12-10,-0.1305
2004-12-13,1.3717
2004-12-14,0.0
2004-12-15,0.2577
2004-12-16,-0.3856
2004-12-17,0.9032
2004-12-20,-0.8312
2004-12-21,-0.1934
2004-12-22,0.4522
2004-12-23,-0.7717
2004-12-27,0.7777
2004-12-28,0.6431
2004-12-29,0.1917
2004-12-30,1.9769999999999999
2004-12-31,0.4378
2005-01-03,-0.934
2005-01-04,-1.7599
2005-01-05,-2.7511
2005-01-06,0.9868
2005-01-07,-0.3257
2005-01-10,1.3072
2005-01-11,-0.3871
2005-01-12,-0.3886
2005-01-13,0.5202
2005-01-14,0.2587
2005-01-18,-0.3226
2005-01-19,0.3236
2005-01-20,-2.0
2005-01-21,0.395
2005-01-24,-0.6557
2005-01-25,-0.6601
2005-01-26,1.2625
2005-01-27,-1.1811
2005-01-28,-0.1992
2005-01-31,0.5323
2005-02-01,-1.7207
2005-02-02,0.0673
2005-02-03,-0.5384
2005-02-04,2.3681
