ticker,CLBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-20,54.2
2018-04-23,0.1946
2018-04-24,1.8123
2018-04-25,-1.0807
2018-04-26,1.0283
2018-04-27,-0.2545
2018-04-30,-1.148
2018-05-01,0.1935
2018-05-02,0.1288
2018-05-03,0.0
2018-05-04,-0.3215
2018-05-07,0.5161
2018-05-08,0.2567
2018-05-09,0.1921
2018-05-10,0.2556
2018-05-11,1.8483
2018-05-14,1.3141
2018-05-15,2.7177
2018-05-16,1.8641
2018-05-17,1.0626
2018-05-18,0.7009
2018-05-21,1.5081
2018-05-22,0.5714
2018-05-23,-0.3409
2018-05-24,-2.4515000000000002
2018-05-25,-1.9287
2018-05-29,-1.1323
2018-05-30,1.748
2018-05-31,0.5924
2018-06-01,0.53
2018-06-04,0.9959
2018-06-05,-0.9861
2018-06-06,0.8787
2018-06-07,-0.4065
2018-06-08,0.6414
2018-06-11,0.6373
2018-06-12,-0.3454
2018-06-13,0.6932
2018-06-14,-0.0574
2018-06-15,-0.4592
2018-06-18,0.5767
2018-06-19,-0.5161
2018-06-20,-0.2305
2018-06-21,-0.1733
2018-06-22,-0.4051
2018-06-25,0.4648
2018-06-26,-0.694
2018-06-27,-1.8637000000000001
2018-06-28,-3.5015
2018-06-29,1.7835
2018-07-02,-0.9063
2018-07-03,-1.7073
2018-07-05,0.6824
2018-07-06,-0.4929
2018-07-09,0.9288
2018-07-10,-0.4908
2018-07-11,-0.7398
2018-07-12,0.6832
2018-07-13,-0.1851
2018-07-16,1.3597000000000001
2018-07-17,-0.6098
2018-07-18,0.2454
2018-07-19,0.9792
2018-07-20,0.2424
2018-07-23,0.6651
2018-07-24,-0.1802
2018-07-25,0.722
2018-07-26,0.4779
2018-07-27,-0.8323
2018-07-30,-0.7794
2018-07-31,1.4502
2018-08-01,0.536
2018-08-02,0.1185
2018-08-03,-1.5385
2018-08-06,1.2019
2018-08-07,0.0
2018-08-08,0.2969
2018-08-09,-0.296
2018-08-10,0.0594
2018-08-13,0.178
2018-08-14,0.1185
2018-08-15,-0.0592
2018-08-16,-0.0592
2018-08-17,0.1777
2018-08-20,-0.2957
2018-08-21,-0.0593
2018-08-22,-0.089
2018-08-23,0.2673
2018-08-24,0.0
2018-08-27,-0.1777
2018-08-28,-0.2374
2018-08-29,0.3569
2018-08-30,0.1186
2018-08-31,0.2368
2018-09-04,0.0591
2018-09-05,-0.059
2018-09-06,-0.1772
2018-09-07,0.1775
2018-09-10,-0.0591
