ticker,FVPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-09,2900.0
2014-06-09,0.0
2014-06-16,0.0
2014-06-17,-2.0
2014-06-19,3.6734999999999998
2014-06-20,0.0
2014-06-23,0.3937
2014-06-24,0.0
2014-07-01,-21.5686
2014-07-02,12.5
2014-07-15,0.0
2014-07-21,-11.1111
2014-07-31,27.5
2014-08-14,0.0
2014-09-02,0.0
2014-11-24,-11.7647
2014-12-15,0.0
2015-01-06,-48.8889
2015-01-12,8.6957
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-03-23,0.0
2015-04-01,304.0
2015-04-02,-0.9901
2015-05-07,-49.0
2015-06-03,-50.9804
2015-06-17,-56.0
2015-08-05,163.6364
2015-09-21,0.0
2015-10-08,-48.2759
2015-12-18,-66.6667
2015-12-22,-50.0
2015-12-29,780.0
2016-02-01,-9.0909
2016-02-23,-75.0
2016-04-15,300.0
2016-04-25,-17.25
2016-04-26,51.0574
2016-05-05,-20.0
2016-11-11,-56.25
2017-01-25,-85.2857
2017-11-14,16.5049
2018-01-02,1416.6667
2018-01-12,-93.3846
2018-01-19,2.99
2018-01-25,1367.7419
2018-01-30,-92.0879
2018-02-12,2677.7778
2018-03-07,-94.5
2018-03-12,727.2727
2018-07-10,0.0
2018-07-12,-59.3407
2018-10-23,-64.8649
