ticker,ONIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-11-21,3.2258
2012-11-23,0.0
2012-11-26,-25.0
2012-11-27,50.0
2012-11-28,2.7778
2012-11-29,2.7027
2012-11-30,-2.6316
2012-12-03,2.7027
2012-12-04,0.0
2012-12-05,-10.526299999999999
2012-12-06,5.8824
2012-12-07,-8.3333
2012-12-10,0.0
2012-12-13,0.0
2012-12-17,16.3636
2012-12-18,0.0
2012-12-20,-24.4792
2013-01-29,0.0
2013-02-01,-62.069
2013-04-30,0.0
2013-09-11,0.0
2013-09-24,0.0
2014-03-11,0.0
2014-03-14,-36.3636
2014-12-17,14.2857
2015-05-29,25.0
2015-06-16,0.0
2015-06-29,0.0
2016-07-18,10.0
2016-07-22,0.0
2016-09-01,-63.6364
2019-01-07,-99.95
