ticker,GPP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-26,0.0
2015-06-29,6.6
2015-06-30,-3.0019
2015-07-01,-1.4184
2015-07-02,-3.1393
2015-07-06,-2.7683999999999997
2015-07-07,1.3889
2015-07-08,-1.3699
2015-07-09,-0.7639
2015-07-10,4.1987
2015-07-13,-0.8731
2015-07-14,0.542
2015-07-15,-1.2129
2015-07-16,0.4775
2015-07-17,4.9559
2015-07-20,-2.1345
2015-07-21,4.2961
2015-07-22,-1.7102
2015-07-23,0.3216
2015-07-24,-0.8355
2015-07-27,-2.9164
2015-07-28,0.9346
2015-07-29,2.7116
2015-07-30,-0.322
2015-07-31,3.0362
2015-08-03,0.0627
2015-08-04,-1.8797000000000001
2015-08-05,-4.1507
2015-08-06,-0.9327
2015-08-07,-0.4707
2015-08-10,2.9054
2015-08-11,-1.9698
2015-08-12,0.0
2015-08-13,-0.134
2015-08-14,-0.0671
2015-08-17,0.604
2015-08-18,-1.4676
2015-08-19,0.0
2015-08-20,-0.1354
2015-08-21,1.2881
2015-08-24,-5.087
2015-08-25,-6.0649
2015-08-26,-0.9009
2015-08-27,2.4242
2015-08-28,1.3314
2015-08-31,6.7153
2015-09-01,-3.762
2015-09-02,3.0561
2015-09-03,-0.2759
2015-09-04,-0.7607
2015-09-08,-4.1812
2015-09-09,-1.5272999999999999
2015-09-10,-2.1418
2015-09-11,-1.2075
2015-09-14,0.0
2015-09-15,0.1528
2015-09-16,-0.0763
2015-09-17,-0.3817
2015-09-18,2.9885
2015-09-21,2.0833
2015-09-22,0.9475
2015-09-23,-0.4332
2015-09-24,-2.1755
2015-09-25,-0.5189
2015-09-28,-0.9687
2015-09-29,-1.5049000000000001
2015-09-30,0.8403
2015-10-01,2.197
2015-10-02,-1.1861
2015-10-05,-1.0503
2015-10-06,0.2274
2015-10-07,0.9834
2015-10-08,1.1985000000000001
2015-10-09,5.9956
2015-10-12,-1.0475
2015-10-13,-4.3754
2015-10-14,4.059
2015-10-15,1.8439999999999999
2015-10-16,0.9749
2015-10-19,-1.7931
2015-10-20,0.1404
2015-10-21,0.2805
2015-10-22,-0.1399
2015-10-23,-1.1204
2015-10-26,2.6912000000000003
2015-10-27,-2.4138
2015-10-28,2.1908
2015-10-29,-0.0692
2015-10-30,2.2145
2015-11-02,1.5572
2015-11-03,-2.6
2015-11-04,3.9013999999999998
2015-11-05,-3.0447
2015-11-06,-1.3259
2015-11-09,-0.2829
2015-11-10,-1.4894
2015-11-11,-0.288
