ticker,GHHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-27,0.0
2017-04-07,-2.4
2017-04-10,0.0
2017-04-11,-1.6393
2017-05-03,-15.8333
2017-05-22,-15.328
2017-05-24,19.272100000000002
2017-05-25,-11.7647
2017-05-30,-43.3333
2017-06-05,-47.0588
2017-06-06,-7.4074
2017-06-07,-20.0
2017-06-15,35.0
2017-06-16,3.7037
2017-06-19,7.1429
2017-06-20,3.3333
2017-06-21,3.2258
2017-06-22,-26.25
2017-06-23,1.6949
2017-06-26,25.0
2017-07-05,-60.0
2017-07-07,4.1667
2017-07-11,76.0
2017-08-01,0.0
2017-08-07,-54.5455
2017-08-08,120.0
2017-08-14,-9.0909
2017-08-15,100.0
2017-08-16,50.0
2017-08-17,-3.3333
2017-08-18,0.0
2017-08-21,12.069
2017-10-17,-23.0769
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,0.0
2017-11-16,0.0
2017-11-17,-2.0
2017-11-20,8.1633
2017-11-21,0.0
2017-11-22,0.0
2017-11-24,1.8868
2017-11-27,1.8519
2017-11-28,5.4545
2017-11-29,1.7241
2017-11-30,1.3559
2017-12-01,0.0
2017-12-04,0.0
2017-12-05,3.6789
2017-12-06,-3.2258
2017-12-07,-11.6667
2017-12-08,13.2075
2017-12-11,0.0
2017-12-12,1.6667
2017-12-13,3.2787
2017-12-14,106.3492
2017-12-15,-19.2308
2017-12-18,84.7619
2017-12-19,-24.2268
2017-12-20,-12.9252
2017-12-21,-25.7813
2017-12-22,-9.4842
2017-12-26,-2.3142
2017-12-27,2.3810000000000002
2017-12-28,-6.9767
2017-12-29,-7.5
2018-01-02,-2.3004
2018-01-03,-3.1781
2018-01-04,-1.4429
2018-01-05,-19.4115
2018-01-08,-8.2701
2018-01-09,-17.6275
2018-01-10,16.6389
2018-01-11,40.8163
2018-01-12,-1.4493
2018-01-16,-22.0588
2018-01-17,-8.5283
2018-01-18,13.4488
2018-01-19,-7.2727
2018-01-22,-4.3333
2018-01-23,43.472
2018-01-24,-14.2857
2018-01-25,-47.1667
2018-01-26,67.5079
2018-01-29,12.9944
2018-01-30,-33.3333
2018-01-31,-24.975
2018-02-01,69.9434
2018-02-02,-21.5686
2018-02-05,-5.9808
2018-02-06,-20.2025
2018-02-07,49.95
2018-02-08,13.3333
2018-02-09,-31.3725
2018-02-12,0.0
2018-02-13,0.0
2018-02-16,0.0
2018-02-20,0.0
2018-02-21,42.8571
2018-02-22,2.0
2018-02-23,0.0
2018-02-26,0.0
