ticker,UBX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-03,-2.0588
2018-05-04,0.6006
2018-05-07,-2.4478
2018-05-08,3.672
2018-05-09,-5.0767
2018-05-10,-0.8706
2018-05-11,-2.8231
2018-05-14,-4.519
2018-05-15,1.0142
2018-05-16,-2.8782
2018-05-17,-3.6527
2018-05-18,-4.578
2018-05-21,0.075
2018-05-22,-1.7227999999999999
2018-05-23,-2.7439
2018-05-24,0.0
2018-05-25,1.8809
2018-05-29,0.1538
2018-05-30,7.5269
2018-05-31,6.4286
2018-06-01,1.4094
2018-06-04,-8.338799999999999
2018-06-05,1.083
2018-06-06,-4.2857
2018-06-07,0.7463
2018-06-08,5.037
2018-06-11,5.9238
2018-06-12,-1.2650000000000001
2018-06-13,-0.472
2018-06-14,1.626
2018-06-15,-3.2
2018-06-18,3.3058
2018-06-19,-0.3333
2018-06-20,0.6689
2018-06-21,-1.7276
2018-06-22,1.8256000000000001
2018-06-25,-4.7809
2018-06-26,3.1381
2018-06-27,-1.4199
2018-06-28,2.1262
2018-06-29,1.1417
2018-07-02,-1.4607999999999999
2018-07-03,0.1348
2018-07-05,2.1534
2018-07-06,0.1318
2018-07-09,2.2368
2018-07-10,0.9009
2018-07-11,-1.148
2018-07-12,0.5806
2018-07-13,-2.8223000000000003
2018-07-16,-0.198
2018-07-17,-0.0661
2018-07-18,-0.6618
2018-07-19,0.7328
2018-07-20,-2.6455
2018-07-23,1.4946
2018-07-24,0.0669
2018-07-25,-1.5385
2018-07-26,2.038
2018-07-27,-4.5273
2018-07-30,2.4407
2018-07-31,2.3145
2018-08-01,1.4637
2018-08-02,0.7213
2018-08-03,-0.5208
2018-08-06,2.0942
2018-08-07,0.641
2018-08-08,0.2548
2018-08-09,0.1271
2018-08-10,-0.0635
2018-08-13,1.7778
2018-08-14,-2.9943999999999997
2018-08-15,0.9646
2018-08-16,0.2548
2018-08-17,0.6353
2018-08-20,2.8409
2018-08-21,1.0436
2018-08-22,-0.243
2018-08-23,2.3752
2018-08-24,6.4842
2018-08-27,-4.9162
2018-08-28,3.2902
2018-08-29,-0.4551
2018-08-30,5.7143
2018-08-31,3.027
2018-09-04,-6.5582
2018-09-05,-0.3369
2018-09-06,1.5211000000000001
2018-09-07,2.0533
2018-09-10,0.9788
2018-09-11,-2.0463
2018-09-12,1.0445
2018-09-13,8.8139
2018-09-14,10.0
2018-09-17,4.4091000000000005
2018-09-18,-14.1924
2018-09-19,-13.4957
2018-09-20,-1.349
