ticker,MYE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.5556
2000-01-04,-1.6806999999999999
2000-01-05,-0.8547
2000-01-06,-0.8621
2000-01-07,6.9565
2000-01-10,1.626
2000-01-11,0.0
2000-01-12,1.2
2000-01-13,-0.3953
2000-01-14,0.7937
2000-01-18,-1.5748
2000-01-19,0.4
2000-01-20,-3.5857
2000-01-21,0.0
2000-01-24,-4.9587
2000-01-25,-3.4783
2000-01-26,-0.9009
2000-01-27,-0.9091
2000-01-28,-1.8349
2000-01-31,-0.9346
2000-02-01,-0.9434
2000-02-02,6.6667
2000-02-03,-2.6786
2000-02-04,1.3761
2000-02-07,-4.9774
2000-02-08,-0.4762
2000-02-09,8.134
2000-02-10,-3.5398
2000-02-11,0.0
2000-02-14,5.5046
2000-02-15,0.8696
2000-02-16,-2.5862
2000-02-17,0.4425
2000-02-18,-1.3216
2000-02-22,0.0
2000-02-23,-2.6786
2000-02-24,-1.3761
2000-02-25,0.0
2000-02-28,3.7209
2000-02-29,1.7936999999999999
2000-03-01,-0.4405
2000-03-02,-1.7699
2000-03-03,-0.9009
2000-03-06,0.9091
2000-03-07,0.4505
2000-03-08,-1.8117
2000-03-09,2.2936
2000-03-10,-5.8296
2000-03-13,-4.7619
2000-03-14,3.5
2000-03-15,-5.314
2000-03-16,3.5714
2000-03-17,3.4483
2000-03-20,3.8095
2000-03-21,-1.3761
2000-03-22,-8.3721
2000-03-23,-2.0305
2000-03-24,3.6269
2000-03-27,1.0
2000-03-28,-4.9505
2000-03-29,1.5625
2000-03-30,-1.5385
2000-03-31,0.0
2000-04-03,6.25
2000-04-04,-3.9215999999999998
2000-04-05,0.0
2000-04-06,-1.0204
2000-04-07,1.0309
2000-04-10,-2.0408
2000-04-11,4.6875
2000-04-12,1.99
2000-04-13,-0.4878
2000-04-14,-0.9804
2000-04-17,-1.9802
2000-04-18,0.0
2000-04-19,1.5152
2000-04-20,-0.4975
2000-04-24,0.0
2000-04-25,3.0
2000-04-26,0.9709
2000-04-27,2.4038
2000-04-28,5.1643
2000-05-01,0.0
2000-05-02,-4.0179
2000-05-03,0.0
2000-05-04,0.0
2000-05-05,1.3953
2000-05-08,0.9174
2000-05-09,-4.0909
2000-05-10,-11.8483
2000-05-11,3.2258
2000-05-12,1.0417
2000-05-15,7.2165
2000-05-16,0.0
2000-05-17,1.9231
2000-05-18,-1.8868
2000-05-19,3.3654
2000-05-22,0.4651
2000-05-23,-0.9259
2000-05-24,2.8037
