ticker,MDRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,18.1818
2000-01-04,-4.0865
2000-01-05,2.5063
2000-01-06,-10.7579
2000-01-07,0.8219
2000-01-10,0.8152
2000-01-11,6.469
2000-01-12,-7.0886
2000-01-13,0.4087
2000-01-14,-1.2212
2000-01-18,-0.9615
2000-01-19,-0.1387
2000-01-20,5.2778
2000-01-21,21.504
2000-01-24,-10.532
2000-01-25,2.9126
2000-01-26,-2.8302
2000-01-27,-2.4272
2000-01-28,-4.4776
2000-01-31,-0.7813
2000-02-01,-4.9869
2000-02-02,-0.1381
2000-02-03,-1.2448
2000-02-04,6.1625
2000-02-07,3.4301
2000-02-08,-8.9286
2000-02-09,0.2801
2000-02-10,8.6592
2000-02-11,-3.856
2000-02-14,4.0107
2000-02-15,-5.3985
2000-02-16,2.9891
2000-02-17,5.409
2000-02-18,0.1252
2000-02-22,3.5
2000-02-23,-0.4831
2000-02-24,-0.2427
2000-02-25,18.4915
2000-02-28,-4.7228
2000-02-29,18.9655
2000-03-01,2.8986
2000-03-02,-0.7042
2000-03-03,10.6383
2000-03-06,-6.4103
2000-03-07,7.6199
2000-03-08,1.5114999999999998
2000-03-09,7.837
2000-03-10,-2.1802
2000-03-13,-1.3373
2000-03-14,-3.7651
2000-03-15,-1.252
2000-03-16,-6.4976
2000-03-17,-1.0169
2000-03-20,-3.2534
2000-03-21,-9.5575
2000-03-22,-2.9354
2000-03-23,0.0
2000-03-24,1.2097
2000-03-27,-3.8845
2000-03-28,-8.8083
2000-03-29,-0.4545
2000-03-30,13.8128
2000-03-31,-3.5105
2000-04-03,-16.8399
2000-04-04,-18.0
2000-04-05,6.25
2000-04-06,1.8651
2000-04-07,8.5915
2000-04-10,-2.2049
2000-04-11,-14.3236
2000-04-12,-18.2663
2000-04-13,-5.4924
2000-04-14,-20.6413
2000-04-17,9.0909
2000-04-18,3.9352
2000-04-19,-3.7862
2000-04-20,-1.8519
2000-04-24,-17.4528
2000-04-25,13.4286
2000-04-26,3.7782999999999998
2000-04-27,16.5049
2000-04-28,3.3333
2000-05-01,22.1774
2000-05-02,-4.9505
2000-05-03,-4.5139
2000-05-04,4.7273
2000-05-05,-4.1667
2000-05-08,-3.9855
2000-05-09,5.283
2000-05-10,0.0
2000-05-11,6.8100000000000005
2000-05-12,-3.6913
2000-05-15,6.9686
2000-05-16,-7.1661
2000-05-17,2.9825
2000-05-18,-0.8518
2000-05-19,-1.3746
2000-05-22,0.3484
