ticker,ADCT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-15,56.0526
2020-05-18,1.1804000000000001
2020-05-19,3.8
2020-05-20,3.982
2020-05-21,6.0222
2020-05-22,2.8255
2020-05-26,3.1161
2020-05-27,-0.7143
2020-05-28,5.0083
2020-05-29,-2.635
2020-06-01,-1.9485999999999999
2020-06-02,1.6284999999999998
2020-06-03,-2.6344
2020-06-04,-2.3989
2020-06-05,-0.1143
2020-06-08,0.8584
2020-06-09,3.9716
2020-06-10,2.4829
2020-06-11,2.7423
2020-06-12,4.483
2020-06-15,-1.6120999999999999
2020-06-16,-0.0756
2020-06-17,-1.3623
2020-06-18,3.0691
2020-06-19,2.9777
2020-06-22,1.4217
2020-06-23,2.7085
2020-06-24,-0.6246
2020-06-25,-0.5819
2020-06-26,1.0302
2020-06-29,6.4658
2020-06-30,1.8938000000000001
2020-07-01,4.1871
2020-07-02,4.675
2020-07-06,-4.1528
2020-07-07,-2.9021
2020-07-08,-6.0829
2020-07-09,-0.6723
2020-07-10,-2.0758
2020-07-13,-0.2074
2020-07-14,-2.1704
2020-07-15,6.514
2020-07-16,5.2293
2020-07-17,3.1796
2020-07-20,-0.6327
2020-07-21,-0.6572
2020-07-22,-2.8323
2020-07-23,3.8723
2020-07-24,-0.3482
2020-07-27,0.0822
2020-07-28,-0.1848
2020-07-29,-0.5556
2020-07-30,-0.2483
2020-07-31,-3.547
