ticker,EPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-28,1.6042999999999998
2000-03-29,0.0
2000-03-30,-2.1053
2000-03-31,-0.2688
2000-04-03,-8.3558
2000-04-04,0.2941
2000-04-05,3.5191
2000-04-06,4.8159
2000-04-07,-2.7027
2000-04-10,-1.1111
2000-04-11,-0.5618
2000-04-12,4.8023
2000-04-13,-0.5391
2000-04-14,-3.252
2000-04-17,-7.563
2000-04-18,-0.6061
2000-04-19,-2.439
2000-04-20,1.25
2000-04-24,5.5556
2000-04-25,2.0468
2000-04-26,-18.0516
2000-04-27,-3.4965
2000-04-28,-1.087
2000-05-01,-0.3663
2000-05-02,-1.1029
2000-05-03,0.0
2000-05-04,5.948
2000-05-05,-5.2632
2000-05-08,0.7407
2000-05-09,-3.6765
2000-05-10,-2.2901
2000-05-11,-7.0313
2000-05-12,12.605
2000-05-15,1.4925
2000-05-16,7.7206
2000-05-17,6.4846
2000-05-18,-0.641
2000-05-19,-4.1935
2000-05-22,-0.3367
2000-05-23,0.6757
2000-05-24,-0.6711
2000-05-25,-9.4595
2000-05-26,-1.4925
2000-05-30,0.0
2000-05-31,3.0303
2000-06-01,0.0
2000-06-02,0.7353
2000-06-05,0.7299
2000-06-06,-5.7971
2000-06-07,1.5385
2000-06-08,2.6515
2000-06-09,0.369
2000-06-12,2.2059
2000-06-13,2.1583
2000-06-14,-1.0563
2000-06-15,1.0676
2000-06-16,9.507
2000-06-19,-4.5016
2000-06-20,0.3367
2000-06-21,1.0067
2000-06-22,0.6645
2000-06-23,-1.3201
2000-06-26,0.6689
2000-06-27,0.0
2000-06-28,0.6645
2000-06-29,-0.6601
2000-06-30,-2.99
2000-07-03,2.3973
2000-07-05,3.6789
2000-07-06,-1.9355
2000-07-07,0.6579
2000-07-10,3.268
2000-07-11,0.0
2000-07-12,5.6962
2000-07-13,2.9939999999999998
2000-07-14,6.3953
2000-07-17,-1.3660999999999999
2000-07-18,-1.385
2000-07-19,-4.4944
2000-07-20,2.3529
2000-07-21,-1.1494
2000-07-24,2.0349
2000-07-25,-0.8547
2000-07-26,2.2989
2000-07-27,3.0899
2000-07-28,1.3624
2000-07-31,3.7634
2000-08-01,-3.1088
2000-08-02,-3.2086
2000-08-03,-0.5525
2000-08-04,-1.6667
2000-08-07,-2.2599
2000-08-08,0.0
2000-08-09,1.4451
2000-08-10,2.5641
2000-08-11,-1.6667
2000-08-14,1.1299
2000-08-15,0.0
2000-08-16,-3.6313
2000-08-17,-2.6087
