ticker,VOC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-05,0.0
2011-05-06,0.0952
2011-05-09,2.7117
2011-05-10,1.3895
2011-05-11,-1.4619
2011-05-12,-0.4636
2011-05-13,1.1644
2011-05-16,-0.1381
2011-05-17,-2.3513
2011-05-18,1.4636
2011-05-19,0.5532
2011-05-20,0.2366
2011-05-23,-0.831
2011-05-24,-0.2793
2011-05-25,0.3735
2011-05-26,-0.3721
2011-05-27,0.4669
2011-05-31,0.5576
2011-06-01,1.6636
2011-06-02,-0.9091
2011-06-03,-0.8257
2011-06-06,-1.2488
2011-06-07,-0.7494
2011-06-08,-0.3775
2011-06-09,3.0317
2011-06-10,0.3678
2011-06-13,-2.7027
2011-06-14,1.177
2011-06-15,0.0931
2011-06-16,0.3254
2011-06-17,-0.3244
2011-06-20,-0.0465
2011-06-21,1.814
2011-06-22,3.4262
2011-06-23,-1.7668
2011-06-24,-0.4496
2011-06-27,0.0
2011-06-28,0.0903
2011-06-29,0.722
2011-06-30,0.7616
2011-07-01,1.9564
2011-07-05,0.4361
2011-07-06,-0.8684
2011-07-07,-0.1752
2011-07-08,0.9215
2011-07-11,-1.7391
2011-07-12,2.0796
2011-07-13,-1.9072
2011-07-14,0.2209
2011-07-15,3.5273
2011-07-18,-0.3407
2011-07-19,2.3072
2011-07-20,0.7942
2011-07-21,1.409
2011-07-22,-0.3678
2011-07-25,-0.1641
2011-07-26,-0.8217
2011-07-27,-1.7812999999999999
2011-07-28,-1.0755
2011-07-29,0.0221
2011-08-01,-0.2655
2011-08-02,-1.7746
2011-08-03,-0.9033
2011-08-04,-4.2844
2011-08-05,-1.619
2011-08-08,-7.938
2011-08-09,2.2608
2011-08-10,4.0617
2011-08-11,3.8043
2011-08-12,1.1899
2011-08-15,3.4807
2011-08-16,-2.6818
2011-08-17,2.4755
2011-08-18,-2.6436
2011-08-19,-2.4345
2011-08-22,-4.1747
2011-08-23,6.0591
2011-08-24,3.7298999999999998
2011-08-25,-1.411
2011-08-26,0.9695
2011-08-29,5.0754
2011-08-30,-3.7859
2011-08-31,1.0403
2011-09-01,-0.5372
2011-09-02,-0.5401
2011-09-06,0.0452
2011-09-07,-1.0855
2011-09-08,-0.6859
2011-09-09,-0.5985
2011-09-12,-1.6205
2011-09-13,1.8356
2011-09-14,1.2483
2011-09-15,0.0457
2011-09-16,-0.0456
2011-09-19,-0.9589
2011-09-20,0.9221
2011-09-21,-3.609
2011-09-22,-4.2654
2011-09-23,-2.9703
