ticker,EYPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-01-28,-4.8805
2005-01-31,-6.8063
2005-02-01,-2.1348
2005-02-02,-0.1148
2005-02-03,1.1494
2005-02-04,2.2727
2005-02-07,-1.5556
2005-02-08,-1.2415
2005-02-09,-6.8571
2005-02-10,-4.908
2005-02-11,14.8258
2005-02-14,0.5731
2005-02-15,2.7933
2005-02-16,-0.5543
2005-02-17,-6.8751
2005-02-18,0.939
2005-02-22,-3.4884
2005-02-23,-6.0241
2005-02-24,13.2051
2005-02-25,-2.0385
2005-02-28,-2.8902
2005-03-01,-3.5714
2005-03-02,1.8519
2005-03-03,0.2424
2005-03-04,-5.0786
2005-03-07,-0.2548
2005-03-08,3.4483
2005-03-11,-6.1728
2005-03-14,0.0
2005-03-15,1.3158
2005-03-16,6.2338000000000005
2005-03-18,-2.2005
2005-03-21,-1.25
2005-03-22,-3.038
2005-03-23,-5.3525
2005-03-24,2.7586
2005-03-28,-3.2215
2005-03-29,-2.7739000000000003
2005-03-30,-3.709
2005-03-31,0.7407
2005-04-01,-2.9412000000000003
2005-04-04,-1.5152
2005-04-05,6.1538
2005-04-06,-0.4348
2005-04-07,-1.0189
2005-04-11,-2.2059
2005-04-12,4.5113
2005-04-13,-5.036
2005-04-14,-6.0606
2005-04-15,-4.8387
2005-04-18,-4.2373
2005-04-19,1.2389000000000001
2005-04-20,4.8951
2005-04-22,-0.1667
2005-04-25,-0.3339
2005-04-26,-6.3652
2005-04-27,-3.3989
2005-04-28,2.7778
2005-04-29,-6.3063
2005-05-02,-2.8846
2005-05-03,0.7921
2005-05-04,-12.2004
2005-05-05,0.6937
2005-05-06,3.1111
2005-05-09,-5.1293
2005-05-10,15.8564
2005-05-11,8.2353
2005-05-12,-5.4348
2005-05-16,5.364
2005-05-17,12.3636
2005-05-18,-2.9126
2005-05-19,2.3333
2005-05-23,20.5212
2005-05-24,-8.6486
2005-05-25,-4.5858
2005-05-26,-6.9748
2005-05-27,-4.1687
2005-05-31,7.6522
2005-06-01,5.0081
2005-06-02,6.1538
2005-06-03,-0.8261
2005-06-06,-4.4279
2005-06-07,-0.6116
2005-06-08,0.1538
2005-06-09,3.533
2005-06-10,-0.4451
2005-06-13,-2.3845
2005-06-14,-0.7634
2005-06-15,1.5385
2005-06-16,1.5303
2005-06-17,-2.1639
2005-06-20,-5.4301
2005-06-21,4.0323
2005-06-22,0.7752
2005-06-23,2.1231
2005-06-24,-2.0789
2005-06-27,-3.0769
