ticker,SLDB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-01-26,41.375
2018-01-29,4.7745
2018-01-30,-5.0633
2018-01-31,13.8667
2018-02-01,6.5964
2018-02-02,6.1882
2018-02-05,-8.7931
2018-02-06,0.189
2018-02-07,-1.3585
2018-02-08,0.8034
2018-02-09,-2.6186
2018-02-12,1.3639999999999999
2018-02-13,-0.0384
2018-02-14,0.8846
2018-02-15,0.1525
2018-02-16,-5.1009
2018-02-20,-4.292
2018-02-21,9.4719
2018-02-22,5.2833
2018-02-23,7.4909
2018-02-26,1.3532
2018-02-27,-1.3017
2018-02-28,-1.9276
2018-03-01,4.8276
2018-03-02,9.1118
2018-03-05,-5.8185
2018-03-06,-2.2087
2018-03-07,-5.0409
2018-03-08,-4.9293
2018-03-09,2.2117
2018-03-12,-2.7669
2018-03-13,-3.5389
2018-03-14,-0.4917
2018-03-15,-64.5762
2018-03-16,2.6824
2018-03-19,-4.1797
2018-03-20,-8.506
2018-03-21,1.1919
2018-03-22,-2.7091
2018-03-23,8.4746
2018-03-26,-5.1339
2018-03-27,-5.4118
2018-03-28,-10.5721
2018-03-29,4.3115
2018-04-02,-2.2667
2018-04-03,10.5048
2018-04-04,11.1111
2018-04-05,6.4444
2018-04-06,-0.4175
2018-04-09,3.2495
2018-04-10,1.2183
2018-04-11,0.8024
2018-04-12,0.199
2018-04-13,1.291
2018-04-16,1.0784
2018-04-17,2.4248
2018-04-18,1.7045
2018-04-19,1.0242
2018-04-20,15.023
2018-04-23,2.5641
2018-04-24,1.4062999999999999
2018-04-25,7.1649
2018-04-26,-3.5225999999999997
2018-04-27,-0.2235
2018-04-30,6.9455
2018-05-01,2.3743
2018-05-02,5.6617
2018-05-03,3.9379999999999997
2018-05-04,17.205
2018-05-07,-5.6704
2018-05-08,-3.2022
2018-05-09,16.7731
2018-05-10,11.4811
2018-05-11,0.1337
2018-05-14,-3.6509
2018-05-15,7.0702
2018-05-16,1.4243000000000001
2018-05-17,-3.3617
2018-05-18,-3.6107
2018-05-21,-6.3499
2018-05-22,0.4878
2018-05-23,-4.7087
2018-05-24,-2.2923999999999998
2018-05-25,-1.1992
2018-05-29,7.4934
2018-05-30,6.2838
2018-05-31,-0.3233
2018-06-01,0.5561
2018-06-04,4.977
2018-06-05,3.5119
2018-06-06,0.0848
2018-06-07,0.4237
2018-06-08,1.5190000000000001
2018-06-11,1.6209
2018-06-12,-1.5133
2018-06-13,-4.2774
2018-06-14,7.115
2018-06-15,7.3309
