ticker,HESM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-05,11.3043
2017-04-06,1.8359
2017-04-07,-0.6904
2017-04-10,0.3862
2017-04-11,-0.2309
2017-04-12,-0.3471
2017-04-13,-1.5093
2017-04-17,-0.6287
2017-04-18,2.1748
2017-04-19,-0.3483
2017-04-20,-1.0485
2017-04-21,-0.157
2017-04-24,-0.0393
2017-04-25,0.2753
2017-04-26,0.9804
2017-04-27,-0.9709
2017-04-28,0.3137
2017-05-01,2.1501
2017-05-02,0.5358
2017-05-03,-0.7994
2017-05-04,-3.5303
2017-05-05,0.8353
2017-05-08,0.0789
2017-05-09,-1.9708
2017-05-10,1.0856
2017-05-11,1.2331
2017-05-12,0.3929
2017-05-15,1.5264
2017-05-16,-0.9252
2017-05-17,-1.0117
2017-05-18,-1.7689
2017-05-19,0.8804
2017-05-22,-0.714
2017-05-23,-1.3184
2017-05-24,-0.081
2017-05-25,-2.0665
2017-05-26,-0.1241
2017-05-30,-1.1185
2017-05-31,-2.6393
2017-06-01,-0.2582
2017-06-02,0.6471
2017-06-05,-0.4715
2017-06-06,-0.5599
2017-06-07,-3.6379
2017-06-08,2.1573
2017-06-09,-0.6159
2017-06-12,1.3723
2017-06-13,-2.1834
2017-06-14,-1.5625
2017-06-15,-2.0408
2017-06-16,-0.463
2017-06-19,-0.8837
2017-06-20,-8.1652
2017-06-21,-2.4527
2017-06-22,1.5715
2017-06-23,0.1547
2017-06-26,-2.4202
2017-06-27,0.3166
2017-06-28,1.7359
2017-06-29,4.2399000000000004
2017-06-30,1.0417
2017-07-03,1.4237
2017-07-05,-2.4685
2017-07-06,0.2978
2017-07-07,-0.9401
2017-07-10,0.9491
2017-07-11,0.0495
2017-07-12,-1.6815
2017-07-13,0.5533
2017-07-14,1.5508
2017-07-17,0.9852
2017-07-18,4.3902
2017-07-19,1.5421
2017-07-20,1.1045
2017-07-21,-1.0924
2017-07-24,1.0124
2017-07-25,0.2278
2017-07-26,-2.1364
2017-07-27,1.9043
2017-07-28,-1.8687
2017-07-31,-1.8114
2017-08-01,-2.0814
2017-08-02,4.8807
2017-08-03,-2.9384
2017-08-04,-2.9313000000000002
2017-08-07,-1.0396
2017-08-08,-1.8509
2017-08-09,-0.051
2017-08-10,-4.1305
2017-08-11,2.1809
2017-08-14,2.811
2017-08-15,1.0127
2017-08-16,0.2005
2017-08-17,-1.7509000000000001
2017-08-18,0.1527
2017-08-21,1.1693
2017-08-22,-1.5577999999999999
2017-08-23,-1.5314
