ticker,EQLB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,40.0
2000-01-04,7.1429
2000-01-05,-4.0
2000-01-06,-9.7222
2000-01-07,0.0
2000-01-10,3.8462
2000-01-11,3.7037
2000-01-12,11.4286
2000-01-13,0.0
2000-01-14,5.7692
2000-01-18,-15.1515
2000-01-19,7.1429
2000-01-20,6.6667
2000-01-25,0.0
2000-01-26,0.0
2000-01-27,-9.375
2000-01-28,-17.2414
2000-01-31,16.6667
2000-02-01,7.1429
2000-02-02,-12.0
2000-02-03,-5.303
2000-02-04,4.0
2000-02-07,-19.2308
2000-02-08,33.3333
2000-02-09,-28.5714
2000-02-10,5.0
2000-02-11,33.3333
2000-02-14,-14.2857
2000-02-18,3.3333
2000-02-23,-3.2258
2000-02-28,-12.0
2000-02-29,-0.5682
2000-03-02,14.2857
2000-03-03,-25.0
2000-03-06,0.0
2000-03-07,-6.6667
2000-03-08,7.1429
2000-03-10,15.5556
2000-03-13,-19.2308
2000-03-14,-3.8095
2000-03-15,23.7624
2000-03-20,-36.0
2000-03-21,-5.0
2000-03-22,0.0
2000-03-23,64.4737
2000-03-24,20.0
2000-03-27,6.6667
2000-03-28,13.2813
2000-03-29,37.931
2000-03-30,-32.0
2000-03-31,17.647100000000002
2000-04-03,-31.25
2000-04-04,-13.6364
2000-04-05,-5.2632
2000-04-07,-33.3333
2000-04-10,-32.0
2000-04-11,-1.9607999999999999
2000-04-12,-20.0
2000-04-13,-6.25
2000-04-14,33.3333
2000-04-17,30.0
2000-04-19,-7.6923
2000-04-20,33.3333
2000-04-24,-25.0
2000-04-26,4.1667
2000-04-27,4.0
2000-04-28,7.6923
2000-05-01,7.1429
2000-05-02,6.6667
2000-05-03,-18.75
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-16.9231
2000-05-11,0.0
2000-05-16,-7.4074
2000-05-23,-40.0
2000-05-24,43.3333
2000-05-26,16.2791
2000-05-31,-40.0
2000-06-05,-10.0
2000-06-06,-7.4074
2000-06-07,20.0
2000-06-09,-10.0
2000-06-13,11.1111
2000-06-14,4.1667
2000-06-26,-18.4
2000-06-27,-9.8039
2000-06-29,-13.0435
2000-07-06,40.0
2000-07-07,-46.4286
2000-07-10,0.0
2000-07-11,6.6667
2000-07-14,0.0
2000-07-17,-21.875
2000-07-26,0.0
2000-08-01,28.0
2000-08-03,-21.875
2000-08-17,0.0
2000-09-13,0.0
2000-09-15,44.0
2000-09-21,0.0
2000-09-27,-27.7778
