ticker,KYNS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-27,9.375
2011-03-03,42.8571
2011-03-04,0.0
2011-03-09,0.0
2011-03-22,0.0
2011-03-30,-66.0
2011-04-19,0.0
2011-05-27,194.1176
2011-09-12,-65.3333
2011-09-13,73.0769
2011-09-29,-43.3333
2011-10-03,0.0
2011-10-11,0.0
2011-10-25,5.8824
2011-12-09,-31.4815
2011-12-21,37.8378
2012-01-11,-21.5686
2012-01-13,-34.5
2012-01-17,-4.5802
2012-01-18,0.0
2012-01-19,20.0
2012-01-20,16.6667
2012-01-23,-42.8571
2012-01-24,0.0
2012-01-26,-5.0
2012-02-03,15.7895
2012-02-21,0.0
2012-02-23,4.5455
2012-02-27,17.3913
2012-02-28,-14.8148
2012-02-29,-4.3478
2012-03-01,22.7273
2012-03-02,-11.1111
2012-03-05,4.1667
2012-03-06,-4.0
2012-03-07,0.0
2012-03-08,8.3333
2012-03-09,15.3846
2012-03-12,-6.6667
2012-03-13,1.7856999999999998
2012-03-14,1.7544
2012-03-19,6.8966
2012-03-22,-4.254
2012-03-23,14.5504
2012-03-26,-9.7059
2012-03-29,72.6384
2012-03-30,-13.2075
2012-04-02,-1.5625
2012-04-05,8.2126
2012-04-09,-18.3673
2012-04-10,12.5
2012-04-16,-31.1111
2012-04-17,-3.2258
2012-04-18,10.0
2012-04-20,0.0
2012-04-23,-12.1212
2012-04-24,10.3448
2012-04-25,0.0
2012-04-26,-6.25
2012-04-30,-3.3333
2012-05-01,-3.4483
2012-05-02,-14.2857
2012-05-03,12.5
2012-05-08,-14.8148
2012-05-10,4.3478
2012-05-15,66.6667
2012-05-16,-0.25
2012-05-17,-7.5971
2012-05-22,0.0339
2012-05-24,-7.8122
2012-05-29,-0.0368
2012-05-30,-8.79
2012-05-31,2.9032
2012-06-01,0.0
2012-06-12,-3.4483
2012-06-13,-0.0406
2012-06-18,0.0
2012-06-19,-15.5501
2012-06-20,0.3846
2012-06-21,7.2797
2012-06-25,-0.3571
2012-06-27,-3.629
2012-06-28,-10.7392
2012-07-03,11.875
2012-07-06,9.4972
2012-07-09,-4.7619
2012-07-10,-12.5
2012-07-11,-0.4082
2012-07-12,-2.126
2012-07-18,4.2659
2012-07-26,-3.6145
2012-08-02,-4.1667
2012-08-06,-2.1739
2012-08-07,0.0
2012-08-08,-20.0
2012-08-10,25.0
2012-08-15,-15.5556
2012-08-17,0.0
2012-08-20,10.526299999999999
2012-08-24,0.0
2012-08-27,-41.5179
