ticker,HVLM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-05,11.6022
2008-01-11,-0.8911
2008-03-04,-47.0529
2008-03-05,3.7736
2008-03-28,77.2727
2008-03-31,2.6667
2008-05-09,-35.5644
2008-07-02,-6.9767
2008-12-10,-56.6667
2008-12-24,476.9231
2009-01-02,-8.3333
2009-01-14,-0.3636
2011-05-26,-57.1533
2011-06-03,3.4072
2011-06-21,-0.1647
2011-07-19,0.0
2012-02-27,15.5116
2012-04-04,0.0
2012-07-05,3.5714
2012-08-29,10.3448
2012-09-13,-6.25
2012-10-10,0.0
2013-01-07,2.0
2013-02-05,0.0
2013-02-21,0.6536
2013-02-22,0.6494
2013-03-04,3.7419000000000002
2013-07-17,-4.2289
2013-09-19,3.8961
2013-10-07,-3.5
2013-12-19,1.0363
2014-05-22,5.1282
2014-06-11,-2.3171
2014-06-12,0.6242
2014-10-28,3.598
2014-10-29,0.0
2014-11-07,1.7964
2015-05-28,2.9412000000000003
2015-06-25,-2.8571
2015-06-29,3.5294
2015-07-06,-1.7045
2015-08-11,3.4682
2015-10-30,3.352
2015-11-02,5.4054
2015-12-07,-2.5641
2016-01-14,1.0526
2016-01-26,-4.375
2016-01-28,3.4858000000000002
2016-02-19,-2.6316
2016-03-22,2.7027
2016-03-28,-0.5263
2016-03-30,3.1746
2016-03-31,0.0
2016-04-13,2.5641
2016-08-25,0.0
2016-09-02,2.0
2016-10-31,5.3922
2016-11-21,-4.186
2016-11-25,4.3689
2016-12-13,0.0
2016-12-16,0.0
2016-12-30,0.0
2017-04-18,9.7674
2017-05-08,0.0
2017-07-19,5.9322
2017-08-08,0.0
2017-10-12,0.0
2018-05-16,8.0
2018-07-02,0.0741
2018-07-17,0.2961
2018-08-13,5.5351
2018-08-20,0.4895
2018-09-04,-0.4175
2018-09-17,2.0266
2018-10-17,0.3425
2018-11-02,-0.9556
2018-11-09,3.0324
2018-11-23,0.0
2018-12-03,0.0
2018-12-06,0.0
2018-12-20,-2.6756
2018-12-21,-0.3436
2018-12-24,-2.069
2019-02-07,1.4085
2019-02-15,-2.0833
2019-02-28,0.0
2019-03-22,1.0638
2019-04-11,1.7544
2019-04-16,-1.7241
2019-05-07,3.5088
2019-05-08,5.0847
2019-05-21,0.0
2019-05-22,0.0
2019-06-21,3.2258
2019-07-30,0.2344
2019-08-16,6.0016
2019-10-04,7.9412
2019-10-31,-1.0354
2019-11-05,1.0463
2019-11-14,2.1798
2019-12-11,0.5333
2019-12-24,0.2653
2019-12-26,0.0
2019-12-31,0.5291
2020-01-03,0.0
2020-01-09,0.2632
2020-02-25,0.0525
2020-02-26,-2.1511
2020-02-27,-2.4129
2020-02-28,-0.2747
2020-03-03,-0.2755
2020-03-09,0.0
2020-03-13,-0.5525
2020-03-16,-11.1111
2020-03-26,4.375
2020-04-16,0.2994
2020-04-20,-2.6269
2020-04-21,0.0
2020-04-22,-1.1649
2020-04-28,1.737
2020-05-14,0.0
2020-07-21,2.439
