ticker,HSIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.1643
2000-01-04,-4.9505
2000-01-05,6.25
2000-01-06,-0.4902
2000-01-07,3.4483
2000-01-10,6.1905
2000-01-11,-2.2422
2000-01-12,2.7523
2000-01-13,13.8393
2000-01-14,-3.5294
2000-01-18,1.2195
2000-01-19,-7.6305
2000-01-20,3.4783
2000-01-21,-2.1008
2000-01-24,3.0043
2000-01-25,-6.25
2000-01-26,-4.0
2000-01-27,0.0
2000-01-28,-2.7778
2000-01-31,0.4762
2000-02-01,1.4218
2000-02-02,0.0
2000-02-03,-0.9346
2000-02-04,0.4717
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,-2.3474
2000-02-10,3.8462
2000-02-11,-7.4074
2000-02-14,10.0
2000-02-15,-0.9091
2000-02-16,-4.1284
2000-02-17,2.3923
2000-02-18,-2.8037
2000-02-22,3.8462
2000-02-23,8.3333
2000-02-24,2.1368
2000-02-25,0.0
2000-02-28,11.2971
2000-02-29,12.782
2000-03-01,-3.0
2000-03-02,-13.7457
2000-03-03,-1.1952
2000-03-06,0.8065
2000-03-07,-0.4
2000-03-08,0.4016
2000-03-09,5.6
2000-03-10,-1.5152
2000-03-13,-4.2308
2000-03-14,1.2048
2000-03-15,-1.9841
2000-03-16,0.8097
2000-03-17,3.6145
2000-03-20,-6.9767
2000-03-21,4.5833
2000-03-22,2.0916
2000-03-23,10.0488
2000-03-24,-2.8369
2000-03-27,4.3796
2000-03-28,-5.2448
2000-03-29,-3.321
2000-03-30,-3.8167999999999997
2000-03-31,2.7778
2000-04-03,-4.2471
2000-04-04,3.2258
2000-04-05,-0.3906
2000-04-06,2.7451
2000-04-07,-1.5267
2000-04-10,-3.1008
2000-04-11,-1.6
2000-04-12,-2.439
2000-04-13,6.6667
2000-04-14,-7.0313
2000-04-17,-7.563
2000-04-18,10.2273
2000-04-19,-8.0412
2000-04-20,3.1390000000000002
2000-04-24,-1.7391
2000-04-25,2.6549
2000-04-26,-0.8621
2000-04-27,-2.6087
2000-04-28,-0.1116
2000-05-01,7.2626
2000-05-02,-0.4167
2000-05-03,-0.4184
2000-05-04,5.042
2000-05-05,-1.6
2000-05-08,6.5041
2000-05-09,3.8167999999999997
2000-05-10,-5.5147
2000-05-11,0.3891
2000-05-12,-1.5504
2000-05-15,5.1181
2000-05-16,2.2472
2000-05-17,-0.3663
2000-05-18,0.0
2000-05-19,-1.4706000000000001
2000-05-22,2.2388
2000-05-23,-2.9196999999999997
