ticker,BAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.4869
2000-01-04,-5.9355
2000-01-05,1.0974
2000-01-06,8.5482
2000-01-07,-2.625
2000-01-10,-3.466
2000-01-11,-2.1277
2000-01-12,1.087
2000-01-13,2.2849
2000-01-14,6.1761
2000-01-18,-4.9505
2000-01-19,0.0
2000-01-20,-4.0365
2000-01-21,-0.8141
2000-01-24,-2.4624
2000-01-25,1.2623
2000-01-26,4.4321
2000-01-27,2.122
2000-01-28,-4.9351
2000-01-31,5.8743
2000-02-01,1.1613
2000-02-02,-2.551
2000-02-03,-2.7487
2000-02-04,-1.2113
2000-02-07,-1.2262
2000-02-08,4.0
2000-02-09,-2.2546
2000-02-10,-2.578
2000-02-11,0.6964
2000-02-14,-2.0747
2000-02-15,3.1073
2000-02-16,-0.9589
2000-02-17,-1.2448
2000-02-18,-1.9607999999999999
2000-02-22,2.2857
2000-02-23,2.2346
2000-02-24,-2.0492
2000-02-25,-1.5342
2000-02-28,4.1076
2000-02-29,0.1361
2000-03-01,0.1359
2000-03-02,-1.0974
2000-03-03,-0.1387
2000-03-06,-1.1111
2000-03-07,-1.1236
2000-03-08,-0.8523
2000-03-09,-1.2894
2000-03-10,-0.4354
2000-03-13,0.7289
2000-03-14,-1.3025
2000-03-15,7.6246
2000-03-16,7.3568999999999996
2000-03-17,1.5228000000000002
2000-03-20,-0.75
2000-03-21,2.7708
2000-03-22,0.8578
2000-03-23,5.3463
2000-03-24,0.8074
2000-03-27,-0.9153
2000-03-28,-1.0393
2000-03-29,-2.9172000000000002
2000-03-30,-2.2837
2000-03-31,3.198
2000-04-03,5.8403
2000-04-04,-2.3649
2000-04-05,-0.346
2000-04-06,-1.0417
2000-04-07,-2.1053
2000-04-10,0.9558
2000-04-11,-0.8876
2000-04-12,4.2388
2000-04-13,-3.2073
2000-04-14,-5.4437999999999995
2000-04-17,0.7509
2000-04-18,1.3665
2000-04-19,-3.0637
2000-04-20,0.2528
2000-04-24,3.9092000000000002
2000-04-25,3.7621
2000-04-26,-3.1579
2000-04-27,-0.9662
2000-04-28,-4.3902
2000-05-01,2.0408
2000-05-02,-0.75
2000-05-03,-1.2594
2000-05-04,-2.0408
2000-05-05,-0.9115
2000-05-08,1.3141
2000-05-09,0.0
2000-05-10,-3.5019
2000-05-11,1.8817
2000-05-12,2.5561
2000-05-15,4.1968
2000-05-16,-1.8519
2000-05-17,-0.7547
2000-05-18,2.0279
2000-05-19,-1.1179999999999999
