ticker,AFHIF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-13,-1.6806999999999999
2013-02-14,0.8547
2013-02-15,-0.8475
2013-02-19,0.8547
2013-02-20,0.0
2013-02-21,0.678
2013-02-22,0.1684
2013-02-25,-1.6785999999999999
2013-02-27,1.7072
2013-03-01,0.0
2013-03-04,0.4139
2013-03-05,0.4247
2013-03-07,-0.0021
2013-03-08,-1.6646
2013-03-11,0.8475
2013-03-12,1.5126
2013-03-13,-1.8212000000000002
2013-03-14,2.8668
2013-03-15,-0.8197
2013-03-18,6.6116
2013-03-19,0.7752
2013-03-20,-1.7308
2013-03-21,-0.2759
2013-03-22,-4.3937
2013-03-25,5.0903
2013-03-26,-1.5625
2013-03-28,-3.0159
2013-04-01,-1.1457
2013-04-03,2.9801
2013-04-04,-1.9293
2013-04-05,0.0
2013-04-08,2.459
2013-04-09,-0.8
2013-04-10,1.9355
2013-04-11,5.6962
2013-04-12,3.2934
2013-04-15,1.3043
2013-04-16,-0.1431
2013-04-17,0.4298
2013-04-18,-0.1427
2013-04-19,-2.2857
2013-04-22,-1.3158
2013-04-23,0.0
2013-04-24,3.5556
2013-04-25,-1.1445
2013-04-26,4.9204
2013-04-29,0.4138
2013-04-30,0.2747
2013-05-01,0.8219
2013-05-02,-2.1739
2013-05-03,2.0833
2013-05-06,-0.1361
2013-05-07,-0.2725
2013-05-08,-0.2732
2013-05-09,1.3699
2013-05-10,0.5405
2013-05-13,0.0
2013-05-14,-1.8817
2013-05-15,-0.6849
2013-05-16,1.2414
2013-05-17,0.1362
2013-05-20,0.0
2013-05-21,-1.3605
2013-05-22,0.0
2013-05-23,1.6552
2013-05-24,-0.8141
2013-05-28,0.9576
2013-05-29,2.1816
2013-05-30,1.8433000000000002
2013-05-31,6.901
2013-06-03,-1.9487999999999999
2013-06-04,2.4845
2013-06-05,-3.0303
2013-06-06,-0.5
2013-06-07,-4.5226
2013-06-10,5.2632
2013-06-11,-4.25
2013-06-12,4.047
2013-06-13,1.6311
2013-06-14,-1.2346
2013-06-17,1.25
2013-06-18,4.1975
2013-06-19,3.673
2013-06-20,-3.0857
2013-06-21,0.5896
2013-06-24,1.4068
2013-06-25,6.0116
2013-06-26,-1.6358000000000001
2013-06-27,1.3304
2013-06-28,-2.0788
2013-07-01,-2.3652
2013-07-02,-1.4684
2013-07-03,0.813
2013-07-05,5.4147
2013-07-08,-3.8251
2013-07-09,3.2955
2013-07-10,-1.1001
2013-07-11,-1.5573000000000001
