ticker,BMRG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-04,0.2062
2020-06-08,0.3086
2020-06-09,-0.2051
2020-06-10,0.2055
2020-06-11,0.1026
2020-06-15,-0.1025
2020-06-16,1.2308
2020-06-19,-0.6079
2020-06-22,0.2039
2020-06-23,0.2035
2020-06-24,15.736
2020-06-25,-4.386
2020-06-26,-2.5688
2020-06-29,4.7081
2020-06-30,-3.5072
2020-07-01,1.2116
2020-07-02,1.7495
2020-07-06,0.0
2020-07-07,-2.0814
2020-07-08,-1.1091
2020-07-09,2.8037
2020-07-10,-0.0909
2020-07-13,-1.2739
2020-07-14,-2.3041
2020-07-15,0.7547
2020-07-16,-0.2809
2020-07-17,-0.4695
2020-07-20,0.1887
2020-07-21,-0.6591
2020-07-22,-0.4739
2020-07-23,-1.3333
2020-07-24,-0.0965
2020-07-27,0.9662
2020-07-28,-0.4785
2020-07-29,-0.0962
2020-07-30,-1.3474
2020-07-31,0.0
