ticker,ENCR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-21,24900.0
2013-08-23,4.0
2013-09-04,2.3077
2013-09-05,0.7519
2013-09-06,-0.7463
2013-09-09,9.0226
2013-09-10,-0.6897
2013-09-11,0.6944
2013-09-12,1.3793
2013-09-13,0.6803
2013-09-16,0.0
2013-09-17,0.0
2013-09-18,-1.3514
2013-09-19,1.3699
2013-09-20,0.6757
2013-09-23,0.0
2013-09-25,-0.6711
2013-09-26,0.6757
2013-09-27,0.6711
2013-09-30,-4.6667
2013-10-01,3.4965
2013-10-02,1.3514
2013-10-03,0.6667
2013-10-04,-0.6623
2013-10-07,-2.6667
2013-10-08,1.3699
2013-10-09,0.6757
2013-10-11,0.6711
2013-10-14,0.6667
2013-10-16,-1.3245
2013-10-17,1.3423
2013-10-18,0.0
2013-10-22,0.6623
2013-10-24,0.0
2013-10-25,0.6579
2013-10-28,0.0
2013-10-30,-1.3072
2013-11-01,1.3245
2013-11-04,-0.6536
2013-11-05,0.0
2013-11-06,0.0
2013-11-08,0.0
2013-11-11,-0.6579
2013-11-12,1.3245
2013-11-13,-0.6536
2013-11-14,0.6579
2013-11-15,0.0
2013-11-18,-1.3072
2013-11-19,0.6623
2013-11-20,0.6579
2013-11-21,0.0
2013-11-22,-0.6536
2013-11-26,0.0
2013-11-27,-1.3158
2013-11-29,0.6667
2013-12-02,0.6623
2013-12-03,-1.3158
2013-12-04,1.3333
2013-12-05,0.6579
2013-12-06,0.0
2013-12-09,-0.6536
2013-12-10,0.6579
2013-12-11,-0.6536
2013-12-12,0.0
2013-12-13,0.6579
2013-12-16,-1.9607999999999999
2013-12-17,1.3333
2013-12-18,-0.6579
2013-12-19,0.6623
2013-12-23,-1.3158
2013-12-24,0.6667
2013-12-26,-1.3245
2013-12-27,2.0134
2013-12-30,-0.6579
2013-12-31,1.9868000000000001
2014-01-02,-1.2987
2014-01-03,-0.6579
2014-01-06,-2.649
2014-01-07,-4.7619
2014-01-08,-3.5714
2014-01-09,-4.4444
2014-01-10,-3.1008
2014-01-13,-20.0
2014-01-14,30.0
2014-01-15,7.6923
2014-01-16,-1.4285999999999999
2014-01-17,-27.5362
2014-01-21,0.0
2014-01-22,15.0
2014-01-23,-17.3913
2014-01-27,0.0
2014-01-29,-5.2632
2014-01-30,0.0
2014-01-31,-5.7361
2014-02-03,6.0852
2014-02-04,-0.0139
2014-02-05,-11.0988
2014-02-06,-6.25
2014-02-07,6.6667
2014-02-10,6.25
2014-02-11,0.0
