ticker,BTU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-04,-12.0968
2017-04-05,2.7523
2017-04-06,-1.6071
2017-04-07,0.0726
2017-04-10,1.4870999999999999
2017-04-11,-1.7513
2017-04-12,-6.3296
2017-04-13,-7.4951
2017-04-17,-1.6793
2017-04-18,2.4765
2017-04-19,3.9167
2017-04-20,0.2406
2017-04-21,2.76
2017-04-24,2.7248
2017-04-25,-1.0989
2017-04-26,1.6475
2017-04-27,-1.2062
2017-04-28,-3.0523
2017-05-01,1.3381
2017-05-02,1.0874
2017-05-03,-3.6881
2017-05-04,-5.1057
2017-05-05,0.7146
2017-05-08,1.0017
2017-05-09,3.1405
2017-05-10,1.2019
2017-05-11,-2.0586
2017-05-12,1.0914
2017-05-15,-0.9996
2017-05-16,-2.5444
2017-05-17,-3.0253
2017-05-18,0.2564
2017-05-19,-0.682
2017-05-22,-0.0429
2017-05-23,1.2022
2017-05-24,1.8244
2017-05-25,-0.125
2017-05-26,3.2958
2017-05-30,0.3231
2017-05-31,-2.2142
2017-06-01,-0.6587
2017-06-02,-3.0253
2017-06-05,2.5641
2017-06-06,1.0417
2017-06-07,-0.0412
2017-06-08,-1.8564
2017-06-09,2.6902
2017-06-12,1.3917
2017-06-13,1.413
2017-06-14,2.0303
2017-06-15,-5.9696
2017-06-16,-2.6555999999999997
2017-06-19,0.2131
2017-06-20,-0.4254
2017-06-21,-0.2136
2017-06-22,0.3425
2017-06-23,-1.8345
2017-06-26,1.3038
2017-06-27,0.7722
2017-06-28,0.1703
2017-06-29,3.4849
2017-06-30,0.4107
2017-07-03,1.6360000000000001
2017-07-05,2.173
2017-07-06,-1.1816
2017-07-07,0.8768
2017-07-10,1.6594
2017-07-11,0.583
2017-07-12,1.8934
2017-07-13,3.6784
2017-07-14,-0.1097
2017-07-17,-1.3548
2017-07-18,-2.0787
2017-07-19,2.047
2017-07-20,-0.8172
2017-07-21,1.0861
2017-07-24,0.9633
2017-07-25,0.367
2017-07-26,0.8044
2017-07-27,-1.8860999999999999
2017-07-28,1.2939
2017-07-31,2.3358
2017-08-01,7.3466000000000005
2017-08-02,0.3654
2017-08-03,-4.899
2017-08-04,-1.7751000000000001
2017-08-07,2.7994
2017-08-08,-0.8618
2017-08-09,-1.1822
2017-08-10,-0.0352
2017-08-11,-0.5632
2017-08-14,0.9912
2017-08-15,-1.0866
2017-08-16,-0.0354
2017-08-17,-0.9571
2017-08-18,-2.6127000000000002
2017-08-21,2.3153
2017-08-22,-1.2931
