ticker,CLIR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-04-26,0.0
2012-04-27,1.9048
2012-04-30,13.0841
2012-05-01,7.438
2012-05-02,0.7692
2012-05-03,14.5038
2012-05-04,24.0
2012-05-07,26.2097
2012-05-08,-10.2236
2012-05-09,-11.506499999999999
2012-05-10,-0.134
2012-05-11,5.5034
2012-05-14,-5.8524
2012-05-15,0.8674
2012-05-16,-15.9989
2012-05-17,-8.2935
2012-05-18,4.6957
2012-05-21,-0.3322
2012-05-22,-2.5
2012-05-23,-5.641
2012-05-24,2.1739
2012-05-25,-3.5461
2012-05-29,-0.8938
2012-05-30,1.0874
2012-05-31,-5.3211
2012-06-01,-4.2636
2012-06-04,8.7045
2012-06-05,3.1657
2012-06-06,6.4982
2012-06-07,4.5931999999999995
2012-06-08,3.2086
2012-06-11,0.3297
2012-06-12,2.8169
2012-06-13,-1.6743000000000001
2012-06-14,0.6192
2012-06-15,-9.3846
2012-06-18,6.961
2012-06-19,4.4444
2012-06-20,0.9119
2012-06-21,-6.7771
2012-06-22,5.9774
2012-06-25,0.1524
2012-06-26,-2.5875
2012-06-27,-0.4688
2012-06-28,4.3956
2012-06-29,1.9548999999999999
2012-07-02,2.5074
2012-07-03,-0.8894
2012-07-05,-5.3379
2012-07-06,-4.3018
2012-07-09,-0.1603
2012-07-10,-5.9099
2012-07-11,-0.3721
2012-07-12,2.7397
2012-07-13,-3.3333
2012-07-16,-1.3772
2012-07-17,-1.0577
2012-07-18,0.5168
2012-07-19,0.0198
2012-07-20,-0.703
2012-07-23,10.9889
2012-07-24,7.3215
2012-07-25,12.1842
2012-07-26,-4.106
2012-07-27,-4.0055
2012-07-30,1.5827
2012-07-31,0.9897
2012-08-01,1.6848
2012-08-02,-1.2414
2012-08-03,2.5253
2012-08-06,1.4874
2012-08-07,-4.698
2012-08-08,0.1408
2012-08-09,0.5626
2012-08-10,0.1678
2012-08-13,2.625
2012-08-14,-4.3537
2012-08-15,-0.4267
2012-08-16,0.2286
2012-08-17,-0.2281
2012-08-20,-0.2857
2012-08-21,-2.8653
2012-08-22,3.2448
2012-08-23,-1.8571
2012-08-24,4.8035
2012-08-27,-0.5556
2012-08-28,-0.838
2012-08-29,4.2254
2012-08-30,-1.3514
2012-08-31,-2.0548
2012-09-04,-1.3986
2012-09-05,1.4184
2012-09-06,1.5385
2012-09-07,2.2039
2012-09-10,-2.965
2012-09-11,-0.9722
2012-09-12,1.9635
2012-09-13,-4.5392
2012-09-14,0.8646
