ticker,MLGF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-12,-8.642
2000-01-13,0.0
2000-01-18,2.7027
2000-01-21,-2.6316
2000-02-02,0.0
2000-02-15,0.0
2000-02-29,-4.0541
2000-03-06,-1.4085
2000-03-10,2.8571
2000-03-22,11.1111
2000-03-23,10.0
2000-03-27,-6.8182
2000-04-11,7.3171
2000-04-14,-5.6818
2000-04-26,-3.6145
2000-05-04,2.5
2000-05-11,-2.439
2000-05-12,0.0
2000-05-26,0.0
2000-06-30,-7.5
2000-07-12,-2.7027
2000-07-13,-2.7778
2000-07-14,-2.8571
2000-07-17,0.0
2000-07-18,8.8235
2000-07-19,0.0
2000-07-20,-8.1081
2000-07-21,0.0
2000-07-25,-2.9412000000000003
2000-07-28,5.303
2000-08-01,18.9448
2000-08-10,-17.7419
2000-08-14,7.8431
2000-08-18,-1.8182
2000-08-28,11.1111
2000-08-29,-10.0
2000-08-31,9.2593
2000-09-01,0.0
2000-09-05,1.6949
2000-09-07,-1.6667
2000-09-11,1.6949
2000-09-14,0.0
2000-09-28,3.3333
2000-10-02,-3.2258
2000-10-05,-3.3333
2000-10-11,-1.7241
2000-10-12,5.2632
2000-10-13,0.0
2000-10-18,-6.6667
2000-10-25,10.7143
2000-11-27,-9.6774
2000-12-20,0.0
2000-12-28,7.1429
2000-12-29,5.0
2001-01-02,-11.1111
2001-01-03,7.1429
2001-01-10,-6.6667
2001-01-12,0.0
2001-01-16,6.25
2001-01-17,-2.521
2001-01-26,-3.4483
2001-01-29,3.5714
2001-02-06,-3.4483
2001-02-07,1.7856999999999998
2001-02-08,-1.7544
2001-02-09,7.1429
2001-03-01,-6.6667
2001-03-05,0.0
2001-03-14,-5.3571
2001-03-19,-1.8868
2001-03-29,0.0
2001-04-09,3.8462
2001-04-11,-2.2222
2001-04-25,6.0606
2001-04-30,2.4286
2001-05-04,0.4184
2001-05-07,-1.0417
2001-05-10,1.7544
2001-05-16,0.0
2001-05-25,0.0
2001-06-13,0.0
2001-06-20,1.3793
2001-06-28,-1.3605
2001-07-06,2.7586
2001-07-10,0.6711
2001-07-16,0.0
2001-07-23,-0.6667
2001-07-25,0.8054
2001-07-27,2.5300000000000002
2001-08-01,1.2987
2001-08-02,3.2051
2001-08-20,11.8012
2001-08-29,-11.1111
2001-08-30,1.25
2001-09-10,17.284
2001-10-05,-13.1579
2001-10-08,-3.0303
2001-11-08,12.5
2001-11-12,0.0
2001-11-26,-3.3333
2001-11-27,2.2989
