ticker,NOVN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-21,64.5455
2016-09-22,17.1271
2016-09-23,-5.0
2016-09-26,6.7527
2016-09-27,2.3721
2016-09-28,2.408
2016-09-29,-3.9042
2016-09-30,-6.8329
2016-10-03,-2.8741
2016-10-04,2.7551
2016-10-05,-6.1569
2016-10-06,0.5291
2016-10-07,-2.0
2016-10-10,1.4501
2016-10-11,-5.5585
2016-10-12,2.7466
2016-10-13,1.8003
2016-10-14,1.6613
2016-10-17,8.2235
2016-10-18,0.3897
2016-10-19,0.0485
2016-10-20,-0.582
2016-10-21,0.439
2016-10-24,2.9626
2016-10-25,-1.4151
2016-10-26,0.5742
2016-10-27,-0.5715
2016-10-28,0.0484
2016-10-31,0.4304
2016-11-01,0.0
2016-11-02,-1.7143000000000002
2016-11-03,-2.4709
2016-11-04,0.3477
2016-11-07,2.8218
2016-11-08,1.1074
2016-11-09,2.3810000000000002
2016-11-10,1.3953
2016-11-11,0.8257
2016-11-14,-0.7052
2016-11-15,-1.3975
2016-11-16,-0.9758
2016-11-17,0.8447
2016-11-18,1.1168
2016-11-21,1.4266
2016-11-22,2.8584
2016-11-23,0.3088
2016-11-25,2.4186
2016-11-28,2.1468
2016-11-29,14.2497
2016-11-30,-1.1773
2016-12-01,0.4468
2016-12-02,-0.3336
2016-12-05,1.6735
2016-12-06,1.6459000000000001
2016-12-07,4.57
2016-12-08,-2.1335
2016-12-09,-0.5274
2016-12-12,-1.2018
2016-12-13,-3.6494
2016-12-14,-1.114
2016-12-15,0.4882
2016-12-16,2.13
2016-12-19,1.5734
2016-12-20,-5.2233
2016-12-21,-1.5203
2016-12-22,3.1648
2016-12-23,1.459
2016-12-27,-4.1667
2016-12-28,-0.4617
2016-12-29,-1.4302000000000001
2016-12-30,5.9608
2017-01-03,-5.7735
2017-01-04,1.6496
2017-01-05,3.7866999999999997
2017-01-06,-3.4624
2017-01-09,-0.8099
2017-01-10,-0.1944
2017-01-11,-2.2594
2017-01-12,-4.3444
2017-01-13,-5.4583
2017-01-17,1.1459
2017-01-18,1.3508
2017-01-19,-3.4824
2017-01-20,-2.7171
2017-01-23,-12.0421
2017-01-24,-6.5591
2017-01-25,-1.2256
2017-01-26,5.471
2017-01-27,-74.0107
2017-01-30,-9.465
2017-01-31,-7.7273
2017-02-01,3.4483
2017-02-02,5.7143
2017-02-03,0.4505
2017-02-06,-4.4843
2017-02-07,-4.4601
2017-02-08,1.2285
2017-02-09,0.2427
