ticker,OLLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-16,32.1875
2015-07-17,-5.2482
2015-07-20,0.7984
2015-07-21,-0.9901
2015-07-22,3.25
2015-07-23,-1.3559
2015-07-24,-1.8164
2015-07-27,-0.15
2015-07-28,-1.302
2015-07-29,-0.0507
2015-07-30,-0.5076
2015-07-31,0.102
2015-08-03,6.422
2015-08-04,-1.4847000000000001
2015-08-05,-2.8196
2015-08-06,-0.2001
2015-08-07,-0.0501
2015-08-10,-4.0622
2015-08-11,0.9409
2015-08-12,2.175
2015-08-13,-2.4328
2015-08-14,3.4286
2015-08-17,-2.3104
2015-08-18,2.1593999999999998
2015-08-19,-0.302
2015-08-20,-1.3629
2015-08-21,-6.2436
2015-08-24,-8.7336
2015-08-25,-4.8445
2015-08-26,3.8341
2015-08-27,0.6053
2015-08-28,5.716
2015-08-31,1.8213
2015-09-01,-1.9005
2015-09-02,-2.5641
2015-09-03,-2.8655
2015-09-04,2.5286
2015-09-08,1.4093
2015-09-09,-1.0423
2015-09-10,6.7876
2015-09-11,0.0548
2015-09-14,-0.8762
2015-09-15,0.4972
2015-09-16,2.6938
2015-09-17,0.1071
2015-09-18,-4.7059
2015-09-21,-2.862
2015-09-22,-0.2311
2015-09-23,-5.2693
2015-09-24,-1.3447
2015-09-25,1.3011
2015-09-28,-1.1621
2015-09-29,2.0421
2015-09-30,-1.9405999999999999
2015-10-01,-0.5566
2015-10-02,4.0423
2015-10-05,-0.4184
2015-10-06,-1.6206
2015-10-07,1.2203
2015-10-08,-0.6028
2015-10-09,3.6992000000000003
2015-10-12,-0.9357
2015-10-13,0.2952
2015-10-14,-4.0612
2015-10-15,-0.7362
2015-10-16,-1.6686999999999999
2015-10-19,-1.5713
2015-10-20,-1.788
2015-10-21,0.13
2015-10-22,0.974
2015-10-23,-1.7363
2015-10-26,1.3743
2015-10-27,-1.3557000000000001
2015-10-28,0.3927
2015-10-29,3.781
2015-10-30,-0.4397
2015-11-02,2.2082
2015-11-03,3.0864
2015-11-04,-1.4371
2015-11-05,0.486
2015-11-06,3.3857
2015-11-09,0.0
2015-11-10,-0.5848
2015-11-11,-1.7059
2015-11-12,1.6158000000000001
2015-11-13,-1.9435
2015-11-16,4.4444
2015-11-17,-2.2427
2015-11-18,1.5293999999999999
2015-11-19,-1.6221999999999999
2015-11-20,1.5901
2015-11-23,-0.058
2015-11-24,-0.058
2015-11-25,3.1341
2015-11-27,1.5194
2015-11-30,-2.1064
2015-12-01,-2.3783
