ticker,VVWT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-01-27,25.0
2004-02-11,-26.6667
2004-03-09,9.0909
2004-12-21,-58.3333
2004-12-30,300.0
2005-03-02,0.0
2005-03-04,-75.0
2005-07-20,20.0
2005-07-29,233.3333
2005-10-28,-93.5
2005-11-09,1823.0769
2005-11-22,-90.0
2005-12-12,28.0
2006-01-24,25.0
2006-01-25,0.0
2006-01-27,2.5
2006-02-08,46.3415
2006-03-15,150.0
2006-03-16,0.0
2006-06-08,286.6667
2006-06-09,-13.7931
2006-08-21,240.0
2006-08-22,17.647100000000002
2006-08-23,0.0
2006-08-24,5.0
2006-08-25,38.0952
2006-08-28,3.4483
2006-08-30,26.6667
2006-08-31,1.3158
2006-09-01,29.8701
2006-09-05,-39.0
2006-09-06,0.0
2006-09-12,63.9344
2006-09-14,-2.5
2006-09-15,-2.5641
2006-09-18,-5.2632
2006-09-19,2.7778
2006-09-20,-18.9189
2006-09-21,0.0
2006-09-22,33.3333
2006-09-25,-15.0
2006-09-26,0.0
2006-09-28,0.0
2006-10-02,0.9926
2006-10-03,-0.9829
2006-10-05,1.0662
2006-10-10,62.9684
2006-10-11,-3.5714
2006-10-12,-59.2593
2006-10-13,136.3636
2006-10-16,-3.8462
2006-10-18,-40.0
2006-10-19,13.3333
2006-10-25,-26.4706
2006-10-27,116.0
2006-10-30,-14.8148
2006-10-31,15.2174
2006-11-01,-26.7925
2006-11-10,-2.0619
2006-11-13,0.0
2006-11-14,10.526299999999999
2006-11-15,6.2798
2006-11-17,-31.4478
2006-11-27,-34.6405
2006-11-30,20.0
2006-12-05,5.4167
2006-12-07,10.6719
2006-12-11,7.1429
2006-12-13,-6.6667
2006-12-14,1.1607
2006-12-20,-1.1474
2006-12-21,-7.1429
2006-12-29,15.3846
2007-01-04,-6.6667
2007-01-29,78.5714
2007-01-31,16.0
2007-02-06,0.0
2007-02-12,-15.1724
2007-02-14,1.626
2007-02-15,0.0
2007-02-16,36.0
2007-02-20,-17.647100000000002
2007-02-21,3.5714
2007-02-23,-6.8966
2007-02-26,12.963
2007-02-27,8.1967
2007-02-28,-9.0909
2007-03-01,-3.3333
2007-03-02,0.0
2007-03-06,-3.4483
2007-03-09,-3.5714
2007-03-13,-7.4074
2007-03-15,20.0
2007-03-16,-6.6667
2007-03-19,-10.7143
2007-03-21,-4.0
2007-03-23,6.25
2007-03-26,25.4902
2007-03-27,-21.875
2007-03-29,20.0
2007-03-30,26.6667
2007-04-02,8.9474
