ticker,CBSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-09,1.25
2004-07-13,-0.8148
2004-07-14,3.4354
2004-08-13,1.083
2004-09-02,-4.7619
2004-09-08,3.75
2004-10-08,0.0
2005-01-04,1.2048
2005-01-05,1.4285999999999999
2005-01-07,-1.4085
2005-01-10,0.5952
2005-01-11,1.1834
2005-01-12,-0.5848
2005-01-13,0.0
2005-01-18,1.7647
2005-02-18,0.578
2005-03-03,0.0
2005-03-04,2.2989
2005-03-07,-2.2472
2005-03-08,0.5747
2005-04-21,1.7143000000000002
2005-04-29,0.0
2005-05-16,1.1236
2005-05-19,3.3333
2005-06-01,0.0
2005-06-03,1.0753
2005-08-23,8.5106
2005-08-25,5.8824
2005-08-26,11.1111
2005-09-02,-6.6667
2005-09-06,-4.8214
2005-09-07,4.1276
2005-09-12,2.2523
2005-11-04,0.0352
2005-11-08,3.9281
2005-11-15,3.3898
2005-12-27,0.0
2005-12-28,2.8689
2006-02-14,-1.5936
2006-02-17,-2.915
2006-03-09,-1.5847
2006-03-15,1.6949
2006-03-21,-0.8333
2006-03-23,1.6806999999999999
2006-03-28,-1.2397
2006-05-15,0.5858
2006-05-16,1.4143
2006-06-12,-1.1485
2006-06-28,0.0
2007-01-11,1.6598000000000002
2007-02-21,0.0
2007-02-22,1.2245
2007-03-14,1.6129
2007-04-24,14.2857
2007-05-08,-10.0681
2008-10-01,-22.7811
2008-10-21,-22.0
2008-11-05,-5.1282
2008-11-06,1.3514
2008-12-22,6.6667
2009-02-11,-24.375
2009-08-21,-0.8264
2009-11-18,-25.0
2010-05-03,2.6667
2010-05-07,10.3896
2010-09-13,3.9215999999999998
2010-09-17,0.0
2010-12-17,4.717
2010-12-27,0.0
2010-12-28,0.3003
2011-02-15,-0.2994
2011-07-27,36.9369
2011-12-15,-2.6316
2012-01-31,1.3514
2012-02-03,4.6667
2012-07-13,15.2866
2012-08-10,10.4972
2012-09-07,0.0
2012-09-12,39.0
2012-12-18,2.1583
2013-01-17,12.3099
