ticker,JAGX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-13,-3.1429
2015-05-14,0.0
2015-05-15,3.3923
2015-05-18,-5.8469999999999995
2015-05-19,1.8163
2015-05-20,2.5298
2015-05-21,0.8708
2015-05-22,-1.4388
2015-05-26,-1.4599
2015-05-27,0.7407
2015-05-28,1.1764999999999999
2015-05-29,-2.1802
2015-06-01,-1.6345
2015-06-02,1.2085
2015-06-03,1.0448
2015-06-04,-2.9542
2015-06-05,-0.4566
2015-06-08,-3.6696999999999997
2015-06-09,-6.8254
2015-06-10,4.7721
2015-06-11,7.3149
2015-06-12,-0.6061
2015-06-15,-2.5915
2015-06-16,0.626
2015-06-17,1.2442
2015-06-18,-5.53
2015-06-19,-8.2927
2015-06-22,-4.2553
2015-06-23,0.3704
2015-06-24,-4.5203
2015-06-25,-4.4444
2015-06-26,-0.5056
2015-06-29,-6.9106
2015-06-30,5.2402
2015-07-01,0.6224
2015-07-02,4.9485
2015-07-06,0.1965
2015-07-07,-5.098
2015-07-09,2.7893
2015-07-10,5.1256
2015-07-13,-3.0593
2015-07-15,-0.789
2015-07-16,4.7714
2015-07-17,-4.5541
2015-07-20,-7.7535
2015-07-21,-7.5431
2015-07-22,-8.6247
2015-07-23,-0.5102
2015-07-24,-10.0256
2015-07-27,-9.3759
2015-07-28,8.1761
2015-07-29,1.7442
2015-07-30,0.0
2015-07-31,1.7143000000000002
2015-08-03,0.5618
2015-08-04,-3.9106
2015-08-05,-1.7587000000000002
2015-08-06,-5.3114
2015-08-07,-6.25
2015-08-10,-3.6667
2015-08-12,1.7301
2015-08-13,-2.3810000000000002
2015-08-14,0.6969
2015-08-17,2.4221
2015-08-18,-1.0135
2015-08-19,3.413
2015-08-20,-4.2904
2015-08-21,-7.2414
2015-08-24,-4.0892
2015-08-25,15.5039
2015-08-26,8.7248
2015-08-27,23.4568
2015-08-28,-14.25
2015-08-31,-16.3265
2015-09-01,18.4669
2015-09-02,0.0
2015-09-03,-0.8824
2015-09-04,-2.0734
2015-09-08,1.8143
2015-09-09,2.3810000000000002
2015-09-10,1.7442
2015-09-11,7.1429
2015-09-14,-11.2
2015-09-15,2.7027
2015-09-16,-1.462
2015-09-17,-1.7804
2015-09-18,3.9275
2015-09-21,9.008
2015-09-22,6.6702
2015-09-23,-4.0
2015-09-24,1.0417
2015-09-25,-4.6392
2015-09-28,-3.7838000000000003
2015-09-29,-1.6854
2015-09-30,-7.4286
2015-10-01,2.1605
2015-10-02,-0.3021
