ticker,SE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-20,8.4
2017-10-23,-6.1501
2017-10-24,-0.1311
2017-10-25,-9.9081
2017-10-26,2.1122
2017-10-27,-0.0713
2017-10-30,0.6424
2017-10-31,6.9504
2017-11-01,2.321
2017-11-02,-1.2314
2017-11-03,-1.6404
2017-11-06,0.1334
2017-11-07,-0.0666
2017-11-08,-1.0667
2017-11-09,-2.2911
2017-11-10,1.5171999999999999
2017-11-13,0.0679
2017-11-14,1.9009
2017-11-15,-1.9987
2017-11-16,2.1754
2017-11-17,-0.1996
2017-11-20,3.2667
2017-11-21,-4.5836
2017-11-22,-6.2923
2017-11-24,-3.7545
2017-11-27,-4.9512
2017-11-28,-9.629
2017-11-29,-4.1921
2017-11-30,5.7429
2017-12-01,7.1552
2017-12-04,-3.6203
2017-12-05,6.2604
2017-12-06,-4.7133
2017-12-07,6.5128
2017-12-08,2.8638
2017-12-11,0.9029
2017-12-12,-1.6406
2017-12-13,-3.5633
2017-12-14,-7.4686
2017-12-15,1.9541
2017-12-18,-0.6667
2017-12-19,-0.4195
2017-12-20,2.9486
2017-12-21,4.5008
2017-12-22,3.6805
2017-12-26,-1.8127
2017-12-27,2.9231
2017-12-28,0.8969
2017-12-29,-1.2593
2018-01-02,-2.4006
2018-01-03,3.7663
2018-01-04,-3.7037
2018-01-05,6.8462
2018-01-08,-0.144
2018-01-09,-0.3605
2018-01-10,-1.6643
2018-01-11,4.7093
2018-01-12,-8.8545
2018-01-16,-1.4649
2018-01-17,-1.1737
2018-01-18,-0.3959
2018-01-19,-2.1463
2018-01-22,2.2746
2018-01-23,2.4623
2018-01-24,-1.0853
2018-01-25,-0.0784
2018-01-26,4.2353
2018-01-29,-8.0512
2018-01-30,-1.5548
2018-01-31,1.9119000000000002
2018-02-01,-2.7732
2018-02-02,0.0839
2018-02-05,-3.6044
2018-02-06,-2.7826
2018-02-07,0.1789
2018-02-08,-2.8571
2018-02-09,4.136
2018-02-12,1.4122
2018-02-13,0.9574
2018-02-14,1.1207
2018-02-15,5.5413
2018-02-16,-0.4039
2018-02-20,0.0
2018-02-21,1.541
2018-02-22,-4.4728
2018-02-23,1.6722000000000001
2018-02-26,-0.0822
2018-02-27,0.9053
2018-02-28,-10.6036
2018-03-01,0.6387
2018-03-02,-3.2638
2018-03-05,1.0309
2018-03-06,1.3915
2018-03-07,6.0384
2018-03-08,-3.4513
2018-03-09,-0.983
2018-03-12,3.4295999999999998
2018-03-13,-1.3961999999999999
