ticker,LYDIF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-04-24,-13.9664
2009-05-13,11.9102
2009-07-28,18.8707
2009-08-12,87.4531
2009-08-13,-9.7774
2009-08-25,-8.4257
2009-08-28,8.7974
2009-09-01,-7.8635
2009-09-09,2.1739
2009-09-16,2.9157
2009-09-22,-0.3063
2009-10-05,-7.9589
2009-10-09,14.238
2009-10-13,-8.9116
2009-10-14,0.2406
2009-10-15,-2.8
2009-10-16,-3.7654
2009-10-19,5.5377
2009-10-20,-4.6495
2009-10-22,-0.0531
2009-10-26,6.4413
2009-11-04,-2.7761
2009-11-06,1.2017
2009-11-09,-4.1916
2009-11-11,13.5593
2009-11-13,-2.9851
2009-11-16,0.0
2009-11-19,-3.6923
2009-11-23,-2.7157
2009-11-24,-2.9351000000000003
2009-11-25,5.6989
2009-11-27,2.0806
2009-11-30,-1.3620999999999999
2009-12-01,6.9938
2009-12-02,-0.2414
2009-12-03,-0.4933
2009-12-04,2.591
2009-12-08,-3.3279
2009-12-09,-1.9146
2009-12-10,1.5385
2009-12-11,-2.0455
2009-12-14,-0.1837
2009-12-15,0.2421
2009-12-17,-4.0483
2009-12-21,-1.9132
2009-12-29,1.6219999999999999
2009-12-30,5.0409
2010-01-04,1.3272
2010-01-06,-1.9931999999999999
2010-01-11,4.4354
2010-01-19,5.6565
2010-01-21,-7.0651
2010-01-22,-0.4061
2010-01-27,-0.9293
2010-01-28,1.072
2010-02-02,0.5303
2010-02-09,0.8572
2010-02-11,-0.8032
2010-02-16,1.6099999999999999
2010-02-18,3.0578
2010-03-01,-2.6794000000000002
2010-03-02,-2.1711
2010-03-05,-1.7849
2010-03-08,-3.3654
2010-03-09,1.4925
2010-03-12,5.5098
2010-03-17,11.2061
2010-03-30,4.0775
2010-03-31,-1.991
2010-04-01,4.4315
2010-04-07,16.0248
2010-04-08,-3.3125999999999998
2010-04-09,-1.3844
2010-04-12,1.1202
2010-04-13,-0.1543
2010-04-15,3.8202
2010-04-16,8.3333
2010-04-19,-7.4113
2010-04-21,11.1336
2010-04-22,-0.3277
2010-04-23,12.2245
2010-04-27,-4.1337
2010-04-28,-0.0905
2010-04-29,0.5607
2010-04-30,-1.1433
2010-05-07,-12.4886
2010-05-12,35.4167
2010-05-14,-10.8846
2010-05-17,-2.8917
2010-05-19,-4.0
2010-05-20,-12.9919
2010-05-21,1.6694
2010-05-25,-4.1214
2010-05-26,27.7702
2010-05-28,18.3915
2010-06-01,-6.6396
2010-06-02,-4.3869
