ticker,ANNX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-24,4.4706
2020-07-27,-1.464
2020-07-28,2.8
2020-07-29,4.2802
2020-07-30,-1.8657
2020-07-31,-0.9777
