ticker,CSOC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-18,-0.9901
2010-01-07,-75.0
2010-02-08,0.0
2010-04-08,0.0
2010-04-09,-50.0
2010-05-05,-44.0
2010-05-17,0.0
2010-05-18,185.7143
2011-01-28,-75.0
2011-01-31,400.0
2011-02-01,4.0
2011-02-02,15.3846
2011-02-08,0.0
2011-02-14,3.3333
2011-02-16,77.4194
2011-03-01,63.6364
2011-03-02,66.6667
2011-03-08,-20.0
2011-03-09,-33.3333
2011-03-10,-40.0
2011-03-11,26.9792
2011-03-14,5.0041
2011-03-15,50.0
2011-03-16,-33.3333
2011-03-17,0.0
2011-03-18,50.0
2011-03-23,-16.6667
2011-03-30,0.0
2011-03-31,0.0
2011-05-31,0.0
2011-06-02,-30.0
2011-06-07,42.8571
2011-06-08,-30.0
2011-06-09,7.1429
2011-06-10,0.0
2011-06-14,6.6667
2011-06-15,6.25
2011-06-16,11.7647
2011-06-17,-5.2632
2011-06-20,5.5556
2011-06-24,-2.1053
2011-06-27,-3.2258
2011-07-06,-27.7778
2011-07-12,7.6923
2011-07-29,35.7143
2011-08-01,0.0
2011-08-15,5.2632
2011-08-16,20.0
2011-08-17,-4.1667
2011-08-18,4.3478
2011-08-19,8.3333
2011-08-23,-11.538499999999999
2011-08-25,-4.3478
2011-08-26,9.0909
2011-08-29,-7.5
2011-08-30,8.1081
2011-08-31,-4.1667
2011-09-06,0.8696
2011-09-08,0.0
2011-09-09,0.0
2011-09-12,-5.1724
2011-09-13,0.0
2011-09-15,-4.5455
2011-09-16,-4.7619
2011-09-19,35.0
2011-09-20,-4.4444
2011-09-21,5.4264
2011-09-22,-4.4118
2011-09-23,-5.3846
2011-09-26,-23.5772
2011-09-27,-7.4468
2011-09-28,2.2989
2011-09-29,1.1236
2011-09-30,-2.2222
2011-10-03,-14.7727
2011-10-04,6.6667
2011-10-05,0.0
2011-10-06,5.0
2011-10-07,-1.1905000000000001
2011-10-10,-3.6145
2011-10-11,-0.1563
2011-10-12,-0.2347
2011-10-13,0.0
2011-10-14,12.9412
2011-10-17,-16.6667
2011-10-18,26.6667
2011-10-19,0.0
2011-10-20,-1.0526
2011-10-21,0.0
2011-10-24,0.0
2011-10-25,0.0
2011-10-26,-1.0638
2011-10-27,0.0
2011-10-28,-4.3011
2011-10-31,0.0
2011-11-01,-5.618
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,-40.4762
2011-11-07,39.75
2011-11-08,-1.2522
2011-11-09,-8.6957
