ticker,VIPV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-11-01,10.0
2004-11-10,-5.6818
2004-11-12,6.0241
2004-11-23,0.0
2004-12-01,-4.5455
2004-12-02,0.0
2004-12-06,7.1429
2004-12-07,-6.6667
2004-12-08,7.1429
2004-12-09,0.0
2004-12-13,-6.6667
2004-12-16,30.9524
2005-01-12,-9.0909
2005-01-24,30.0
2005-01-31,-3.0769
2005-02-23,11.1111
2005-02-24,-4.2857
2005-02-25,-23.8806
2005-03-02,27.451
2005-03-14,0.0
2005-03-30,-7.6923
2005-03-31,-15.0
2005-04-01,0.0
2005-04-18,3.9215999999999998
2005-06-01,-62.2642
2005-06-03,75.0
2005-06-06,0.0
2005-07-07,42.8571
2005-07-13,-50.0
2005-07-18,0.0
2005-07-21,0.0
2005-07-22,20.0
2005-07-25,16.6667
2005-07-26,-5.7143
2005-07-27,-9.0909
2005-07-28,0.0
2005-07-29,13.3333
2005-08-01,5.8824
2005-08-02,-2.7778
2005-08-03,5.7143
2005-08-04,-8.1081
2005-08-05,5.8824
2005-08-08,-16.6667
2005-08-09,6.6667
2005-08-10,-37.5
2005-08-11,25.0
2005-08-12,-8.0
2005-08-15,4.3478
2005-08-16,-2.0833
2005-08-17,-14.8936
2005-08-18,15.0
2005-08-19,0.0
2005-08-22,-21.7391
2005-08-23,11.1111
2005-08-24,0.0
2005-08-25,-15.0
2005-08-26,29.4118
2005-08-29,-22.7273
2005-08-30,0.0
2005-09-07,47.0588
2005-09-09,12.0
2005-09-12,-28.5714
2005-09-13,0.0
2005-09-14,0.0
2005-09-19,25.0
2005-09-21,0.0
2005-09-22,-16.0
2005-09-29,7.1429
2005-10-03,28.8889
2005-10-04,-13.7931
2005-10-05,0.0
2005-10-06,-4.0
2005-10-07,-8.3333
2005-10-10,13.6364
2005-10-12,-16.0
2005-10-14,-4.7619
2005-10-17,5.0
2005-10-18,9.5238
2005-10-19,0.0
2005-10-20,-4.3478
2005-10-21,0.0
2005-10-24,-4.5455
2005-10-25,-28.5714
2005-10-26,30.0
2005-10-28,-12.8205
2005-10-31,-11.7647
2005-11-01,6.6667
2005-11-02,0.0
2005-11-03,-18.75
2005-11-04,-7.6923
2005-11-07,25.0
2005-11-09,-33.3333
2005-11-10,10.0
2005-11-11,0.0
2005-11-14,0.0
2005-11-15,-9.0909
2005-11-16,-10.0
2005-11-18,-44.4444
2005-11-21,180.0
2005-11-25,-7.1429
2005-11-28,38.4615
2005-11-29,0.0
2005-11-30,11.1111
