ticker,AGIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-24,73.7778
2013-07-25,-11.1893
2013-07-26,2.6997999999999998
2013-07-29,0.3856
2013-07-30,1.6061
2013-07-31,0.2062
2013-08-01,-0.0343
2013-08-02,-1.0635
2013-08-05,-0.1387
2013-08-06,0.5556
2013-08-07,2.4516999999999998
2013-08-08,0.6067
2013-08-09,0.5025
2013-08-12,1.6
2013-08-13,2.9199
2013-08-14,4.4629
2013-08-15,-1.8004
2013-08-16,-0.839
2013-08-19,-8.7747
2013-08-20,-8.0728
2013-08-21,-7.3617
2013-08-22,2.743
2013-08-23,1.5705
2013-08-26,-1.0437
2013-08-27,-11.5234
2013-08-28,1.9868000000000001
2013-08-29,7.6623
2013-08-30,-5.187
2013-09-03,0.0
2013-09-04,7.888
2013-09-05,6.5252
2013-09-06,-0.0738
2013-09-09,-1.0709
2013-09-10,3.4714
2013-09-11,-2.1284
2013-09-12,-0.7372
2013-09-13,-1.4111
2013-09-16,1.3183
2013-09-17,-3.0855
2013-09-18,4.0276
2013-09-19,1.9912
2013-09-20,-3.4346
2013-09-23,-2.3212
2013-09-24,-1.1882
2013-09-25,4.5384
2013-09-26,1.8182
2013-09-27,1.5306
2013-09-30,0.3589
2013-10-01,2.8255
2013-10-02,4.487
2013-10-03,7.3568999999999996
2013-10-04,2.8837
2013-10-07,-7.2031
2013-10-08,-5.911
2013-10-09,-13.1861
2013-10-10,0.0398
2013-10-11,-1.5897999999999999
2013-10-14,5.937
2013-10-15,0.7625
2013-10-16,3.7457000000000003
2013-10-17,3.574
2013-10-18,0.4225
2013-10-21,0.9818
2013-10-22,-7.2639
2013-10-23,2.2166
2013-10-24,1.5385
2013-10-25,-4.329
2013-10-28,-5.5807
2013-10-29,2.5559
2013-10-30,-4.4782
2013-10-31,-5.585
2013-11-01,-0.6908
2013-11-04,3.6522
2013-11-05,1.9295
2013-11-06,-9.465
2013-11-07,-11.5455
2013-11-08,2.0041
2013-11-11,5.2393
2013-11-12,-3.8296
2013-11-13,7.0184
2013-11-14,-11.6279
2013-11-15,-7.3684
2013-11-18,-3.4091
2013-11-19,0.3529
2013-11-20,-0.4689
2013-11-21,5.8893
2013-11-22,-0.723
2013-11-25,-10.028
2013-11-26,7.2852
2013-11-27,3.047
2013-11-29,-1.1546
2013-12-02,-1.5385
2013-12-03,3.125
2013-12-04,1.0662
2013-12-05,0.1666
2013-12-06,4.5455
2013-12-09,1.3256000000000001
2013-12-10,-2.3025
