ticker,NMIH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-08,7.6923
2013-11-11,0.2857
2013-11-12,-0.2849
2013-11-13,0.0
2013-11-14,-0.4286
2013-11-15,0.4304
2013-11-18,0.7143
2013-11-19,-0.3546
2013-11-20,-1.637
2013-11-21,-0.5065
2013-11-22,0.5818
2013-11-25,1.2292
2013-11-26,-0.1429
2013-11-27,1.216
2013-11-29,-0.7774
2013-12-02,-0.1425
2013-12-03,-0.8559
2013-12-04,-0.8993
2013-12-05,-0.1089
2013-12-06,-4.7965
2013-12-09,2.9008000000000003
2013-12-10,-6.1573
2013-12-11,-3.6364
2013-12-12,0.4102
2013-12-13,-1.9607999999999999
2013-12-16,7.3333
2013-12-17,-4.5031
2013-12-18,4.3902
2013-12-19,-3.6604
2013-12-20,-1.9402
2013-12-23,5.1937
2013-12-24,-2.4295
2013-12-26,0.4016
2013-12-27,0.4
2013-12-30,-0.3984
2013-12-31,1.8399999999999999
2014-01-02,-2.0817
2014-01-03,-1.6446
2014-01-06,0.6525
2014-01-07,-1.013
2014-01-08,1.1052
2014-01-09,0.4049
2014-01-10,0.8065
2014-01-13,0.0
2014-01-14,0.0
2014-01-15,-1.6800000000000002
2014-01-16,-1.0578
2014-01-17,1.1513
2014-01-21,-0.4065
2014-01-22,0.0816
2014-01-23,0.1794
2014-01-24,-0.2605
2014-01-27,-1.5510000000000002
2014-01-28,-0.0829
2014-01-29,0.7884
2014-01-30,0.2882
2014-01-31,0.7389
2014-02-03,-0.5705
2014-02-04,-0.9016
2014-02-05,0.9098
2014-02-06,-0.3279
2014-02-07,0.4112
2014-02-10,0.2457
2014-02-11,0.0817
2014-02-12,0.5714
2014-02-13,-0.4058
2014-02-14,-0.4075
2014-02-18,-0.8183
2014-02-19,-3.5479000000000003
2014-02-20,0.7699
2014-02-21,-2.6316
2014-02-24,0.6975
2014-02-25,-0.7792
2014-02-26,-4.5375
2014-02-27,-1.0969
2014-02-28,1.1091
2014-03-03,-2.468
2014-03-04,-1.4058
2014-03-05,0.0951
2014-03-06,0.0
2014-03-07,3.5138
2014-03-10,4.1284
2014-03-11,5.3744
2014-03-12,-0.5017
2014-03-13,-0.7563
2014-03-14,0.3387
2014-03-17,-0.3376
2014-03-18,0.6774
2014-03-19,-0.0841
2014-03-20,-0.0842
2014-03-21,-0.5897
2014-03-24,0.4237
2014-03-25,-1.097
2014-03-26,-1.9625
2014-03-27,0.9574
2014-03-28,0.6897
2014-03-31,0.3425
