ticker,CINR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-13,-5.2632
2013-09-16,0.3333
2013-09-17,0.7752
2013-09-18,1.044
2013-09-19,-0.4894
2013-09-20,-1.0929
2013-09-23,0.3315
2013-09-24,-0.2753
2013-09-25,0.0
2013-09-26,0.6074
2013-09-27,-0.2744
2013-09-30,0.9906
2013-10-01,0.0
2013-10-02,1.4169
2013-10-03,1.5583
2013-10-04,1.0053
2013-10-07,1.8334000000000001
2013-10-08,2.9321
2013-10-09,-0.1
2013-10-10,0.05
2013-10-11,-0.45
2013-10-14,1.4566
2013-10-15,1.0396
2013-10-16,1.6659000000000002
2013-10-17,0.241
2013-10-18,1.9231
2013-10-21,4.0094
2013-10-22,0.2268
2013-10-23,-0.2262
2013-10-24,0.2268
2013-10-25,-0.1357
2013-10-28,0.1359
2013-10-29,-0.2715
2013-10-30,-0.6806
2013-10-31,0.4568
2013-11-01,0.8186
2013-11-04,0.7217
2013-11-05,-1.4778
2013-11-06,-3.7273
2013-11-07,-1.322
2013-11-08,1.1962
2013-11-11,0.5674
2013-11-12,-2.3037
2013-11-13,0.3369
2013-11-14,3.1175
2013-11-15,1.2093
2013-11-18,0.1838
2013-11-19,-1.6514
2013-11-20,-1.2593
2013-11-21,-0.0189
2013-11-22,0.5386
2013-11-25,-1.1278
2013-11-26,-0.1901
2013-11-27,0.2387
2013-11-29,1.9946000000000002
2013-12-02,-3.1672
2013-12-03,-1.8277999999999999
2013-12-04,1.0289
2013-12-05,1.5518999999999998
2013-12-06,1.2894
2013-12-09,0.8958
2013-12-10,-0.3738
2013-12-11,-1.6417000000000002
2013-12-12,-0.5246
2013-12-13,-1.6779
2013-12-16,0.195
2013-12-17,0.0
2013-12-18,-0.8759
2013-12-19,-1.5709
2013-12-20,0.2993
2013-12-23,1.8896
2013-12-24,2.733
2013-12-26,-0.6651
2013-12-27,-1.4825
2013-12-30,0.2427
2013-12-31,-0.7748
2014-01-02,1.5129000000000001
2014-01-03,-1.8269
2014-01-06,1.6160999999999999
2014-01-07,1.6867
2014-01-08,2.3697
2014-01-09,-2.0833
2014-01-10,0.0
2014-01-13,-2.7896
2014-01-14,0.4377
2014-01-15,0.1453
2014-01-16,-0.6286
2014-01-17,2.1411
2014-01-21,1.6675
2014-01-22,0.1406
2014-01-23,-1.2635
2014-01-24,-2.0853
2014-01-27,0.0968
2014-01-28,2.3245
2014-01-29,1.9912999999999998
2014-01-30,0.9524
2014-01-31,1.4151
2014-02-03,-1.5349
