ticker,TT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.7457000000000003
2000-01-04,-2.0047
2000-01-05,-0.1203
2000-01-06,5.4217
2000-01-07,4.6857
2000-01-10,-2.0742
2000-01-11,-1.1148
2000-01-12,-1.5784
2000-01-13,-2.291
2000-01-14,0.0
2000-01-18,-0.5862
2000-01-19,-1.8868
2000-01-20,-5.1683
2000-01-21,-2.2814
2000-01-24,-2.0752
2000-01-25,-2.649
2000-01-26,7.2109
2000-01-27,-2.7919
2000-01-28,-1.8277
2000-01-31,0.133
2000-02-01,-2.1248
2000-02-02,0.8141
2000-02-03,-1.3458999999999999
2000-02-04,1.5007000000000001
2000-02-07,-3.0914
2000-02-08,-1.5257
2000-02-09,-3.662
2000-02-10,-5.9942
2000-02-11,-2.6874000000000002
2000-02-14,5.618
2000-02-15,4.8632
2000-02-16,-1.4493
2000-02-17,-1.6176
2000-02-18,-2.8401
2000-02-22,0.3077
2000-02-23,-8.4356
2000-02-24,-4.1876
2000-02-25,-1.049
2000-02-28,4.947
2000-02-29,3.1987
2000-03-01,-1.3051
2000-03-02,-4.9587
2000-03-03,2.6087
2000-03-06,1.1864
2000-03-07,-6.5327
2000-03-08,0.3584
2000-03-09,2.5
2000-03-10,0.3484
2000-03-13,-1.3889
2000-03-14,-0.3521
2000-03-15,8.1272
2000-03-16,12.2549
2000-03-17,-5.6769
2000-03-20,2.1605
2000-03-21,3.1722
2000-03-22,-1.6105
2000-03-23,0.8929
2000-03-24,-0.1475
2000-03-27,-4.1359
2000-03-28,2.4653
2000-03-29,3.3083
2000-03-30,5.8224
2000-03-31,-2.6135
2000-04-03,0.0
2000-04-04,6.2147
2000-04-05,-3.0585
2000-04-06,-0.6859
2000-04-07,-2.4862
2000-04-10,3.1161
2000-04-11,-0.9615
2000-04-12,3.8834999999999997
2000-04-13,3.0708
2000-04-14,-13.0829
2000-04-17,3.8748
2000-04-18,-0.5739
2000-04-19,-4.7619
2000-04-20,6.8182
2000-04-24,3.9716
2000-04-25,0.955
2000-04-26,-1.8919000000000001
2000-04-27,3.5813
2000-04-28,-0.133
2000-05-01,-0.7989
2000-05-02,1.8792
2000-05-03,-2.108
2000-05-04,-1.8843
2000-05-05,1.7833
2000-05-08,0.5391
2000-05-09,-1.7426
2000-05-10,-1.2278
2000-05-11,1.3812
2000-05-12,1.188
2000-05-15,4.4595
2000-05-16,5.1746
2000-05-17,-2.46
2000-05-18,-1.0088
2000-05-19,-2.6752000000000002
