ticker,SFIV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-08,200.0
2015-06-09,33.3333
2015-06-10,12.5
2015-06-11,11.1111
2015-06-12,30.0
2015-06-15,18.4615
2015-06-26,0.0
2015-06-29,-9.0909
2015-07-10,-42.8571
2015-07-13,0.0
2015-07-28,87.5
2015-08-11,-13.3333
2015-09-10,11.538499999999999
2015-09-11,-17.2414
2015-09-16,25.0
2015-09-22,3.3333
2015-09-29,6.4516
2015-09-30,0.0
2015-10-01,-3.0303
2015-10-08,1.875
2015-11-06,-7.9755
2015-11-23,-6.6667
2015-11-25,14.2857
2015-12-04,-9.375
2015-12-09,-3.4483
2015-12-10,0.0
2015-12-17,-14.2857
2015-12-30,0.0
2016-01-05,-16.6667
2016-01-26,20.0
2016-02-02,7.5
2016-03-03,-22.4806
2016-03-07,30.0
2016-03-10,3.0769
2016-03-16,7.4627
2016-04-21,0.0
2016-04-29,10.4167
2016-05-16,-11.9497
2016-05-20,-14.2857
2016-05-31,15.8333
2016-06-01,0.7194
2016-06-02,-14.2857
2016-06-03,0.0
2016-06-08,-0.4167
2016-06-09,0.251
2016-06-13,0.1669
2016-06-15,-4.1667
2016-06-16,-4.3478
2016-06-29,-4.5455
2016-07-15,-4.7619
2016-07-22,-5.0
2016-07-27,5.2632
2016-07-29,-40.0
2016-08-02,65.0
2016-08-03,-20.202
2016-08-08,-24.0506
2016-08-09,6.3333
2016-08-16,-21.6301
2016-08-17,37.6
2016-08-18,1.4535
2016-08-30,0.0
2016-08-31,-1.4327
2016-09-07,-27.3256
2016-09-08,0.0
2016-09-20,-2.0
2016-09-23,-14.2857
2016-09-26,10.2381
2016-09-28,0.0
2016-10-24,-0.6479
2016-11-07,-34.7826
2016-11-08,30.0
2016-11-10,2.0513
2016-11-22,-2.0101
2016-11-29,0.0
2016-12-07,-53.8462
2016-12-08,111.1111
2016-12-16,-49.9474
2016-12-19,5.1525
2016-12-20,295.0
2016-12-29,-49.3671
2016-12-30,0.0
2017-01-04,37.5
2017-01-11,-29.0909
2017-01-12,-33.8462
2017-01-17,16.2791
2017-01-18,96.6667
2017-01-19,-59.322
2017-01-23,50.0
2017-01-24,0.5556
2017-01-25,-17.1202
2017-01-26,-16.6736
2017-01-30,-1.6
2017-01-31,-3.252
2017-02-01,-11.7647
2017-02-03,-6.8571
2017-02-06,-20.2454
2017-02-07,28.2051
2017-02-08,-18.0
2017-02-10,59.7561
2017-02-27,14.5038
2017-03-02,6.6667
2017-03-06,-7.1875
