ticker,GTARF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-08-03,-19.3281
2012-08-08,-8.774000000000001
2012-08-10,5.4777000000000005
2012-11-21,-37.6812
2013-01-02,27.1318
2013-03-13,-39.5071
2013-05-09,2.142
2013-05-10,-3.8651
2013-05-16,1.2831000000000001
2013-05-28,11.4865
2013-05-31,-27.9545
2013-06-10,7.6761
2013-08-13,120.9473
2013-08-14,-13.5028
2013-08-15,-13.7966
2013-08-23,3.8529999999999998
2013-09-10,-8.5902
2013-10-04,-11.5829
2013-12-17,-5.3672
2014-01-08,8.0597
2014-02-07,-25.587
2014-03-04,5.4292
2014-04-16,-33.8028
2014-10-23,-36.3697
2015-07-23,-31.6614
2015-09-08,-2.1407
2015-09-15,-20.0
2015-10-16,4.2969
2015-10-19,-0.5618
2015-11-04,-0.9416
2015-11-05,-0.1901
2015-12-23,-40.381
2016-06-23,186.262
2016-07-26,-8.9286
2016-07-27,28.6765
2016-08-18,58.4762
2016-08-29,26.6226
2016-08-30,-7.8785
2016-09-08,-19.2169
2016-09-21,-37.1173
2016-11-22,-22.4138
2016-12-28,-14.2484
2017-02-22,19.5122
2017-03-09,4.0816
2017-03-10,11.7647
2017-03-17,5.8114
2017-03-20,-19.8964
2017-05-12,-14.7477
2017-12-04,-1.6692
2018-01-11,11.1111
2018-01-25,-7.7778
2018-01-29,-21.6867
2018-02-13,29.2308
2018-02-27,0.0
2018-03-06,-40.2381
2018-03-20,37.8486
2018-04-20,-9.2486
2018-05-15,27.0701
2018-05-16,-2.005
2018-07-26,-30.9463
2018-07-31,-7.4074
2018-08-01,8.0
2018-08-30,-3.7037
2018-09-04,2.6923
2018-09-11,-21.3483
2018-09-13,0.0
2018-09-18,-22.7095
2018-12-13,-50.7116
2019-01-15,0.0
2019-01-22,87.5
2019-01-28,-12.8
2019-01-29,28.7462
2019-09-13,-99.4062
2019-10-08,0.0
2019-10-31,0.0
2019-11-05,0.0
2019-12-11,0.0
2019-12-12,0.0
2020-03-20,0.0
