ticker,GRCU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-14,2439900.0
2006-07-17,63.9344
2006-07-18,3.0
2006-07-19,11.6505
2006-07-20,-4.3478
2006-07-21,4.5455
2006-07-24,-13.0435
2006-07-25,15.0
2006-07-26,-0.8696
2006-07-27,0.8772
2006-07-28,4.3478
2006-07-31,4.1667
2006-08-01,4.0
2006-08-02,3.8462
2006-08-03,0.0
2006-08-04,0.0
2006-08-07,-2.2222
2006-08-08,4.5455
2006-08-09,-2.8986
2006-08-10,4.3284
2006-08-11,0.1431
2006-08-14,0.0
2006-08-15,3.4286
2006-08-16,-1.9337
2006-08-18,-8.4507
2006-08-21,0.0
2006-08-23,7.6923
2006-08-24,-3.0
2006-08-25,-0.5891
2006-08-30,3.7037
2006-08-31,3.5714
2006-09-05,0.0
2006-09-06,0.0
2006-09-07,0.0
2006-09-08,-5.1034
2006-09-11,-0.436
2006-09-12,-3.6496
2006-09-13,6.0606
2006-09-15,-7.1429
2006-09-18,0.0
2006-09-22,0.0
2006-09-26,-19.2308
2006-09-27,0.0
2006-10-02,4.7619
2006-10-04,0.0
2006-10-09,-8.1818
2006-10-10,1.9802
2006-10-11,-2.9126
2006-10-12,-3.0
2006-10-13,3.0928
2006-10-16,9.0
2006-10-17,-17.4312
2006-10-19,16.6667
2006-10-20,4.7619
2006-10-23,-4.5455
2006-10-24,-4.7619
2006-10-25,0.0
2006-10-26,30.0
2006-10-27,0.0
2006-10-30,-3.0769
2006-10-31,-0.7937
2006-11-01,-12.0
2006-11-02,0.0
2006-11-03,9.0909
2006-11-06,-15.8333
2006-11-07,9.1089
2006-11-08,-0.1815
2006-11-09,9.0909
2006-11-10,0.0
2006-11-15,-15.8333
2006-11-16,8.9109
2006-11-17,-9.0909
2006-11-20,4.0
2006-11-28,0.0
2006-12-01,-23.0769
2006-12-04,18.75
2006-12-05,9.473700000000001
2006-12-06,-8.6538
2006-12-07,0.0
2006-12-08,0.0
2006-12-11,-12.6316
2006-12-12,7.2289
2006-12-14,-15.7303
2006-12-18,2.6667
2006-12-20,3.8961
2006-12-21,-3.75
2006-12-22,10.3896
2006-12-26,-5.8824
2006-12-27,-2.75
2006-12-28,0.7712
2006-12-29,7.1429
2007-01-03,-4.7619
2007-01-08,-10.0
2007-01-09,11.1111
2007-01-12,0.0
2007-01-16,0.0
2007-01-18,-5.0
2007-01-19,0.0
2007-01-22,0.0
2007-01-23,5.2632
2007-01-24,-8.75
2007-01-25,7.1233
