ticker,YUANF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-22,-1.3699
2008-04-29,0.6944
2008-05-12,-0.4138
2008-05-14,-0.277
2008-05-19,-0.1389
2008-05-22,-0.2782
2008-05-27,0.0
2008-06-17,0.0
2008-06-23,0.0
2008-07-17,-0.6974
2008-08-05,0.4213
2008-08-07,0.4196
2008-09-02,0.0
2008-09-09,0.0
2008-09-10,0.0
2008-09-25,-0.4178
2008-09-26,-2.0979
2008-10-02,0.0
2008-10-06,-2.8571
2008-10-10,-0.7353
2008-10-28,-1.4815
2008-10-29,2.7068
2008-10-30,0.5857
2008-11-12,-4.6579
2008-11-17,2.2901
2008-11-19,0.0
2008-11-21,-2.0896
2008-11-24,-0.1524
2008-12-12,0.0
2008-12-23,0.7634
2008-12-24,-0.7576
2008-12-26,-0.3053
2008-12-29,-0.4594
2008-12-30,1.5385
2009-01-02,0.0
2009-01-05,1.5152
2009-01-06,3.7313
2009-01-09,-2.8777
2009-01-14,0.8889
2009-01-16,-0.8811
2009-01-21,2.963
2009-01-30,0.7194
2009-02-09,11.4286
2009-03-03,-8.3333
2009-03-10,9.0909
2009-03-23,-1.2821
2009-03-24,0.0
2009-03-25,1.2987
2009-03-26,0.8974
2009-03-27,-0.1271
2009-04-01,0.1272
2009-04-02,0.0
2009-04-03,0.0
2009-04-06,-17.4079
2009-04-07,21.0769
2009-04-09,77.8907
2009-04-15,-50.0
2009-04-21,0.0
2009-04-23,5.5714
2009-05-01,0.0
2009-05-04,-5.2774
2009-05-08,5.5714
2009-05-11,-5.2774
2009-05-14,0.0
2009-05-18,5.5714
2009-05-19,0.0
2009-05-20,0.0
2009-05-26,0.0
2009-05-27,0.0
2009-06-02,1.4885
2009-07-13,4.0
2009-07-27,8.9744
2009-07-28,0.0
2009-08-04,0.0
2009-08-14,0.0
2009-08-19,1.1764999999999999
2009-08-20,0.0
2009-08-31,10.4651
2009-09-04,5.2632
2009-09-08,50.0
2009-09-10,-20.0
2009-09-11,-12.5
2009-09-14,14.2857
2009-09-15,0.0
2009-09-16,-15.0
2009-09-18,2.9412000000000003
2009-09-21,0.0
2009-09-25,0.0
2009-09-28,3.3333
2009-10-01,8.2949
2009-10-02,2.1277
2009-10-06,-1.6667
2009-10-07,1.6949
2009-10-08,-3.0
2009-10-09,4.811
2009-10-13,0.082
2009-10-14,2.457
2009-10-15,54.7242
2009-10-16,47.9645
2009-10-19,9.5845
2009-10-20,3.5845000000000002
2009-10-21,-17.5946
