ticker,HLTY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-02-03,7.2727
2017-02-06,3.3898
2017-02-07,3.2787
2017-02-08,7.9365
2017-02-09,16.9118
2017-02-10,50.9434
2017-02-13,10.8333
2017-02-14,57.8947
2017-02-15,31.4286
2017-02-16,-16.6667
2017-02-17,-0.8696
2017-02-21,-14.3723
2017-02-22,-43.6566
2017-02-23,0.9091
2017-02-24,3.3333
2017-02-27,1.1334
2017-02-28,6.0345
2017-03-01,3.4959
2017-03-02,-1.8068
2017-03-03,5.6
2017-03-06,-1.5152
2017-03-07,0.0
2017-03-09,5.3846
2017-03-10,-1.7518
2017-03-13,3.2689
2017-03-14,-10.0719
2017-03-15,-0.8
2017-03-16,0.8065
2017-03-17,-2.4
2017-03-20,1.6393
2017-03-21,-2.9839
2017-03-22,0.7481
2017-03-23,-3.4653
2017-03-24,-10.2564
2017-03-27,-8.5714
2017-03-28,4.1667
2017-03-29,8.0
2017-03-30,0.0
2017-03-31,-2.7778
2017-04-03,-13.3333
2017-04-04,1.8887
2017-04-05,1.3819
2017-04-06,-4.3085
2017-04-07,4.5024999999999995
2017-04-10,-12.6928
2017-04-11,8.4457
2017-04-12,-10.1124
2017-04-13,-8.75
2017-04-17,16.4384
2017-04-18,7.0588
2017-04-19,8.7912
2017-04-20,4.5455
2017-04-21,5.314
2017-04-24,-3.6696999999999997
2017-04-25,4.7619
2017-04-26,3.6364
2017-04-27,0.0
2017-04-28,-0.5263
2017-05-01,1.4109
2017-05-02,1.7391
2017-05-04,11.1111
2017-05-05,5.3846
2017-05-08,1.4599
2017-05-09,0.7194
2017-05-10,3.2143
2017-05-11,1.7301
2017-05-12,-2.0408
2017-05-15,6.25
2017-05-16,-3.9215999999999998
2017-05-18,4.0816
2017-05-19,-2.6144
2017-05-23,-2.6846
2017-05-24,-6.8966
2017-05-25,1.4722
2017-05-26,-12.4008
2017-05-30,7.1667
2017-05-31,3.8103
2017-06-01,1.1236
2017-06-02,-0.7407
2017-06-05,9.7015
2017-06-07,-10.8844
2017-06-08,9.9924
2017-06-09,0.6315
2017-06-13,-4.1379
2017-06-14,14.3885
2017-06-15,-0.6289
2017-06-16,-5.0633
2017-06-20,-4.4
2017-06-21,-0.2789
2017-06-23,4.8951
2017-06-27,2.6667
2017-06-28,-2.5974
2017-06-29,0.66
2017-06-30,-0.5232
2017-07-03,0.0
2017-07-05,-4.4607
2017-07-06,1.0453
2017-07-07,0.0
2017-07-13,-0.6897
2017-07-14,3.8194
