ticker,AXS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-07-01,16.1364
2003-07-02,-0.5871
2003-07-03,0.7874
2003-07-07,0.7813
2003-07-08,0.3488
2003-07-09,-0.7339
2003-07-10,-1.3618999999999999
2003-07-11,1.2229
2003-07-14,1.7147000000000001
2003-07-15,6.3218
2003-07-16,-5.9459
2003-07-17,-2.1073
2003-07-18,1.2916
2003-07-21,1.6229
2003-07-22,0.8745
2003-07-23,-3.9201
2003-07-24,0.6277
2003-07-25,2.846
2003-07-28,-0.9477
2003-07-29,-1.0716
2003-07-30,1.3926
2003-07-31,-0.1145
2003-08-01,-2.5974
2003-08-04,-1.3725
2003-08-05,0.994
2003-08-06,1.4961
2003-08-07,-2.1722
2003-08-08,-0.2776
2003-08-11,-0.5964
2003-08-12,0.04
2003-08-13,-0.2799
2003-08-14,-0.9623
2003-08-15,0.0
2003-08-18,0.0
2003-08-19,0.0
2003-08-20,-0.2024
2003-08-21,-1.5415999999999999
2003-08-22,-2.3486000000000002
2003-08-25,2.5316
2003-08-26,1.7284000000000002
2003-08-27,1.1731
2003-08-28,-2.3191
2003-08-29,0.4912
2003-09-02,-2.3625
2003-09-03,0.1252
2003-09-04,-2.4167
2003-09-05,0.1281
2003-09-08,1.4925
2003-09-09,-0.5462
2003-09-10,0.0422
2003-09-11,-0.9713
2003-09-12,-0.6397
2003-09-15,-0.8584
2003-09-16,3.8961
2003-09-17,1.2917
2003-09-18,5.1008
2003-09-19,-0.1957
2003-09-22,0.6667
2003-09-23,-3.3891999999999998
2003-09-24,-0.8065
2003-09-25,0.4065
2003-09-26,-0.9312
2003-09-29,-0.4098
2003-09-30,2.6749
2003-10-01,-0.6012
2003-10-02,2.7823
2003-10-03,-0.3531
2003-10-06,0.7874
2003-10-07,0.9766
2003-10-08,-1.0445
2003-10-09,1.251
2003-10-10,0.3861
2003-10-13,-2.5
2003-10-14,-0.355
2003-10-15,-1.4252
2003-10-16,-2.8112
2003-10-17,0.2066
2003-10-20,3.5052
2003-10-21,-0.7171
2003-10-22,-0.4815
2003-10-23,-0.2823
2003-10-24,-2.1431
2003-10-27,-1.1157
2003-10-28,0.1254
2003-10-29,1.419
2003-10-30,2.6749
2003-10-31,0.4008
2003-11-03,1.7964
2003-11-04,-0.1961
2003-11-05,0.7859
2003-11-06,6.9786
2003-11-07,-0.5102
2003-11-10,-2.8938
2003-11-11,-0.2263
2003-11-12,0.0
2003-11-13,0.189
2003-11-14,-1.5472000000000001
2003-11-17,0.9582
