ticker,NBIX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.5152
2000-01-04,-8.7065
2000-01-05,5.7221
2000-01-06,-5.6701
2000-01-07,14.207699999999999
2000-01-10,13.8756
2000-01-11,2.1008
2000-01-12,-5.7613
2000-01-13,-2.6201
2000-01-14,4.9327
2000-01-18,-0.8547
2000-01-19,1.0776
2000-01-20,-2.3454
2000-01-21,16.1572
2000-01-24,-13.3459
2000-01-25,6.7245
2000-01-26,-1.626
2000-01-27,-3.719
2000-01-28,-15.8798
2000-01-31,-3.0612
2000-02-01,0.5263
2000-02-02,12.8272
2000-02-03,-3.9443
2000-02-04,0.4831
2000-02-07,13.9423
2000-02-08,0.6329
2000-02-09,0.6289
2000-02-10,6.6667
2000-02-11,-0.7813
2000-02-14,-5.1181
2000-02-15,1.4523
2000-02-16,14.5194
2000-02-17,8.5714
2000-02-18,-7.8947
2000-02-22,-1.4285999999999999
2000-02-23,-4.7101
2000-02-24,6.0837
2000-02-25,-0.3584
2000-02-28,1.259
2000-02-29,5.151
2000-03-01,5.0676
2000-03-02,0.3215
2000-03-03,16.5064
2000-03-06,-2.0633
2000-03-07,-13.9045
2000-03-08,-3.0995
2000-03-09,15.8249
2000-03-10,-6.9767
2000-03-13,-10.0391
2000-03-14,-13.1568
2000-03-15,-6.4
2000-03-16,2.3504
2000-03-17,16.4927
2000-03-20,-17.9211
2000-03-21,-2.1834
2000-03-22,16.5179
2000-03-23,-1.1494
2000-03-24,-8.1395
2000-03-27,-2.1097
2000-03-28,-0.8621
2000-03-29,-13.0435
2000-03-30,-6.5
2000-03-31,-0.5348
2000-04-03,-9.6774
2000-04-04,3.8689999999999998
2000-04-05,2.8653
2000-04-06,-13.3705
2000-04-07,5.4662
2000-04-10,-0.3049
2000-04-11,-2.7523
2000-04-12,-6.2893
2000-04-13,3.3557
2000-04-14,-13.6364
2000-04-17,0.3759
2000-04-18,16.8539
2000-04-19,12.8205
2000-04-20,-10.2273
2000-04-24,-6.962
2000-04-25,7.483
2000-04-26,0.3165
2000-04-27,-6.6246
2000-04-28,14.8649
2000-05-01,2.3529
2000-05-02,1.1494
2000-05-03,-11.3636
2000-05-04,0.641
2000-05-05,10.1911
2000-05-08,-5.2023
2000-05-09,1.2195
2000-05-10,-2.7108
2000-05-11,1.548
2000-05-12,1.5244
2000-05-15,5.7057
2000-05-16,3.6932
2000-05-17,-7.6712
2000-05-18,0.8902
2000-05-19,1.1764999999999999
2000-05-22,-5.814
