ticker,XFOR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-16,40.3
2017-11-17,-0.7128
2017-11-20,3.8047
2017-11-21,6.5698
2017-11-22,4.867
2017-11-24,2.5371
2017-11-27,4.2245
2017-11-28,7.0064
2017-11-29,-8.3874
2017-11-30,-0.2953
2017-12-01,-1.4218
2017-12-04,-2.0433
2017-12-05,-6.8712
2017-12-06,-13.3729
2017-12-07,2.6616
2017-12-08,3.4815
2017-12-11,-12.5268
2017-12-12,-0.8183
2017-12-13,-10.3135
2017-12-14,6.9917
2017-12-15,-3.6973000000000003
2017-12-18,11.3393
2017-12-19,0.401
2017-12-20,-0.639
2017-12-21,1.2862
2017-12-22,0.7937
2017-12-26,-0.3937
2017-12-27,4.3478
2017-12-28,-0.0758
2017-12-29,-3.26
2018-01-02,-6.0345
2018-01-03,6.1718
2018-01-04,0.1571
2018-01-05,7.0588
2018-01-08,9.7436
2018-01-09,-4.1722
2018-01-10,-2.473
2018-01-11,3.2857
2018-01-12,-0.7261
2018-01-16,-3.3786
2018-01-17,-1.1536
2018-01-18,1.5864
2018-01-19,-2.1361
2018-01-22,2.5679
2018-01-23,-6.0801
2018-01-24,-0.6093
2018-01-25,-0.3831
2018-01-26,2.8462
2018-01-29,0.7479
2018-01-30,-2.7468
2018-01-31,-3.7405
2018-02-01,0.7137
2018-02-02,-2.9134
2018-02-05,7.056
2018-02-06,-2.803
2018-02-07,-1.0912
2018-02-08,1.7336
2018-02-09,-6.8939
2018-02-12,10.4825
2018-02-13,-3.7651
2018-02-14,-3.4343
2018-02-15,7.2838
2018-02-16,4.003
2018-02-20,5.3014
2018-02-21,-2.1379
2018-02-22,2.1142
2018-02-23,0.069
2018-02-26,-0.069
2018-02-27,-3.3816
2018-02-28,5.3571
2018-03-01,2.3729
2018-03-02,5.9603
2018-03-05,0.0625
2018-03-06,3.0606
2018-03-07,5.0909
2018-03-08,3.8062
2018-03-09,0.0
2018-03-12,1.2778
2018-03-13,24.7943
2018-03-14,5.978
2018-03-15,5.4749
2018-03-16,-5.3873
2018-03-19,-1.0806
2018-03-20,9.3697
2018-03-21,-1.9209
2018-03-22,-0.2742
2018-03-23,-3.7706
2018-03-26,-10.3265
2018-03-27,-1.1834
2018-03-28,8.3372
2018-03-29,-2.6786
2018-04-02,4.7619
2018-04-03,-2.1268
2018-04-04,7.9676
2018-04-05,-5.9984
2018-04-06,-6.3812
2018-04-09,-0.4484
2018-04-10,1.5314999999999999
2018-04-11,0.0444
