ticker,LMAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-19,-11.4286
2006-10-20,4.0323
2006-10-23,0.0
2006-10-24,-1.5504
2006-10-25,-3.1496
2006-10-26,-2.439
2006-10-27,0.0
2006-10-30,0.8333
2006-10-31,0.0
2006-11-01,0.5093
2006-11-02,-0.5067
2006-11-03,0.8264
2006-11-06,-0.8197
2006-11-07,-0.3306
2006-11-08,0.0
2006-11-09,-2.9851
2006-11-10,0.8547
2006-11-13,2.8814
2006-11-14,-1.318
2006-11-15,0.1669
2006-11-16,0.8333
2006-11-17,-0.3306
2006-11-20,0.4975
2006-11-21,-1.8152
2006-11-22,0.1681
2006-11-24,-0.3356
2006-11-27,0.1684
2006-11-28,0.8403
2006-11-29,-1.5
2006-11-30,-1.692
2006-12-01,4.2341
2006-12-04,-0.9247
2006-12-05,0.0
2006-12-06,-2.4833
2006-12-07,0.4956
2006-12-08,0.0
2006-12-11,-4.2517
2006-12-12,-0.5329
2006-12-13,-1.7856999999999998
2006-12-14,5.8182
2006-12-15,2.0619
2006-12-18,-2.3569
2006-12-19,0.5172
2006-12-20,-1.5436999999999999
2006-12-21,-0.6969
2006-12-22,6.4912
2006-12-26,-0.1647
2006-12-27,0.0
2006-12-28,0.6601
2006-12-29,-1.6393
2007-01-03,0.8333
2007-01-04,0.9917
2007-01-05,2.1277
2007-01-08,-1.6026
2007-01-09,-0.6515
2007-01-10,1.3115
2007-01-11,-1.2945
2007-01-12,2.1311
2007-01-16,0.321
2007-01-17,0.48
2007-01-18,-0.4777
2007-01-19,6.701
2007-01-22,-0.1321
2007-01-23,-1.5015
2007-01-24,-3.0488
2007-01-25,-0.3145
2007-01-26,-0.3155
2007-01-29,0.0
2007-01-30,0.6329
2007-01-31,-0.6289
2007-02-01,2.5316
2007-02-02,-3.7037
2007-02-05,0.1603
2007-02-06,2.4
2007-02-07,-2.3438
2007-02-08,-2.4
2007-02-09,1.1475
2007-02-12,-2.4311
2007-02-13,0.6645
2007-02-14,0.6601
2007-02-15,4.918
2007-02-16,-5.4688
2007-02-20,1.6529
2007-02-21,2.439
2007-02-22,0.5079
2007-02-23,2.6532
2007-02-26,0.1538
2007-02-27,-0.1536
2007-02-28,2.1538
2007-03-01,-0.6024
2007-03-02,3.3333
2007-03-05,-2.6393
2007-03-06,2.4096
2007-03-07,-0.8824
2007-03-08,-1.7804
2007-03-09,0.1511
2007-03-12,1.81
2007-03-13,0.1481
2007-03-14,-1.3314
2007-03-15,-0.7496
