ticker,AWI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-12,2.25
2006-10-13,-0.4645
2006-10-16,-1.2528000000000001
2006-10-17,-0.6219
2006-10-18,0.1252
2006-10-19,-0.55
2006-10-20,-0.8296
2006-10-23,-1.2674
2006-10-24,-2.1823
2006-10-25,-0.7874
2006-10-26,0.291
2006-10-27,0.5012
2006-10-30,-0.9186
2006-10-31,-1.7219
2006-11-01,-0.7547
2006-11-02,0.0815
2006-11-03,-1.2753999999999999
2006-11-06,-1.3194
2006-11-07,-1.3649
2006-11-08,3.0782
2006-11-09,0.6575
2006-11-10,1.0071
2006-11-13,-0.5928
2006-11-14,-0.1084
2006-11-15,-0.4071
2006-11-16,8.5831
2006-11-17,0.2509
2006-11-20,-0.2503
2006-11-21,-0.2509
2006-11-22,0.0755
2006-11-24,0.176
2006-11-27,-0.8783
2006-11-28,1.1392
2006-11-29,0.2753
2006-11-30,2.3465
2006-12-01,0.2195
2006-12-04,-0.3407
2006-12-05,1.0989
2006-12-06,0.9662
2006-12-07,0.3589
2006-12-08,-0.7867
2006-12-11,0.1201
2006-12-12,-2.1838
2006-12-13,1.8399999999999999
2006-12-14,0.5541
2006-12-15,0.7187
2006-12-18,0.1189
2006-12-19,-0.1901
2006-12-20,-0.1666
2006-12-21,0.3815
2006-12-22,0.1188
2006-12-26,0.5931
2006-12-27,-0.0943
2006-12-28,-0.2833
2006-12-29,0.3551
2007-01-03,0.0236
2007-01-04,-0.9434
2007-01-05,0.3095
2007-01-08,-0.3798
2007-01-09,-0.0715
2007-01-10,0.0238
2007-01-11,1.0727
2007-01-12,1.4151
2007-01-16,2.7674
2007-01-17,1.3804
2007-01-18,-0.3571
2007-01-19,-0.3136
2007-01-22,-0.9888
2007-01-23,-1.2483
2007-01-24,0.4826
2007-01-25,0.6176
2007-01-26,-0.6365
2007-01-29,-0.938
2007-01-30,0.2309
2007-01-31,1.4747
2007-02-01,3.3152
2007-02-02,1.5824
2007-02-05,0.1731
2007-02-06,1.5119
2007-02-07,0.1915
2007-02-08,0.1911
2007-02-09,-0.4663
2007-02-12,-0.6814
2007-02-13,-0.2144
2007-02-14,-0.0215
2007-02-15,10.5953
2007-02-16,1.7877999999999998
2007-02-20,0.8591
2007-02-21,0.0379
2007-02-22,-2.1192
2007-02-23,-1.6045
2007-02-26,0.4912
2007-02-27,0.6843
2007-02-28,-2.6408
2007-03-01,-0.2792
2007-03-02,-0.6
2007-03-05,-0.4225
2007-03-06,0.0808
