ticker,PLPL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-11,0.0
2000-11-13,0.0
2000-12-14,0.0
2000-12-29,-25.0
2001-03-05,0.0
2001-12-10,-66.0
2002-03-08,0.0
2003-05-21,-88.2353
2003-11-05,16.6667
2004-05-12,0.0
2004-07-01,-87.1429
2004-07-06,33.3333
2004-07-13,1.6667
2004-08-02,6.5574
2004-08-03,-7.6923
2004-08-04,8.3333
2004-08-05,0.0
2004-08-06,0.0
2004-08-11,-7.6923
2004-08-12,0.0
2004-08-13,3.3333
2004-08-16,0.0
2004-08-17,1.6129
2004-08-18,-4.7619
2004-08-20,3.3333
2004-08-24,-3.2258
2004-08-25,0.0
2004-08-26,0.0
2004-08-27,-16.6667
2004-08-31,0.0
2004-09-02,-2.0
2004-09-03,16.3265
2004-09-07,1.7544
2004-09-08,-13.7931
2004-09-09,4.0
2004-09-10,-1.9231
2004-09-15,11.7647
2004-09-17,-38.5965
2004-09-20,31.4286
2004-09-21,6.5217
2004-09-22,-18.3673
2004-09-23,12.5
2004-09-27,8.8889
2004-09-29,4.0816
2004-09-30,-23.5294
2004-10-01,-15.3846
2004-10-04,18.1818
2004-10-05,12.8205
2004-10-11,-9.0909
2004-10-12,5.0
2004-10-14,-33.3333
2004-10-15,0.0
2004-10-18,3.5714
2004-10-19,-20.6897
2004-10-20,0.0
2004-10-22,8.6957
2004-10-26,-8.0
2004-10-27,21.7391
2004-10-28,-25.0
2004-10-29,-14.2857
2004-11-01,5.5556
2004-11-02,15.7895
2004-11-05,-22.7273
2004-11-08,0.0
2004-11-09,-11.7647
2004-11-10,6.6667
2004-11-11,62.5
2004-11-12,-23.0769
2004-11-15,-10.0
2004-11-18,-11.1111
2004-11-19,18.75
2004-11-22,0.0
2004-11-23,0.0
2004-11-24,47.3684
2004-11-26,-10.7143
2004-11-29,60.0
2004-11-30,1.25
2004-12-01,3.7037
2004-12-02,3.5714
2004-12-03,-1.1494
2004-12-06,6.9767
2004-12-07,2.1739
2004-12-08,-14.8936
2004-12-09,10.0
2004-12-10,-6.8182
2004-12-13,-2.439
2004-12-14,2.5
2004-12-15,-4.878
2004-12-16,-5.1282
2004-12-17,8.1081
2004-12-20,-2.5
2004-12-21,-2.5641
2004-12-22,10.526299999999999
2004-12-23,-5.9524
2004-12-27,0.0
2004-12-28,1.2658
2004-12-29,-5.0
2004-12-30,0.0
2004-12-31,2.6316
2005-01-03,-2.5641
2005-01-04,0.0
2005-01-05,5.2632
2005-01-06,-5.0
