ticker,GOGO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-21,-5.8824
2013-06-24,-10.8125
2013-06-25,4.4849
2013-06-26,-2.7498
2013-06-27,-3.4483
2013-06-28,-0.2143
2013-07-01,-1.9327
2013-07-02,-3.7226
2013-07-03,-1.4405000000000001
2013-07-05,1.7692
2013-07-08,-1.7385000000000002
2013-07-09,-2.3077
2013-07-10,-1.9685000000000001
2013-07-11,5.1406
2013-07-12,6.8755
2013-07-15,0.0715
2013-07-16,-5.0
2013-07-17,-2.1053
2013-07-18,1.8433000000000002
2013-07-19,-1.7345000000000002
2013-07-22,-0.921
2013-07-23,0.9295
2013-07-24,-3.3768000000000002
2013-07-25,-0.3971
2013-07-26,-1.6745999999999999
2013-07-29,-1.2976
2013-07-30,-0.6574
2013-07-31,-0.4963
2013-08-01,0.1663
2013-08-02,-0.083
2013-08-05,4.9003
2013-08-06,1.9002
2013-08-07,-0.777
2013-08-08,-6.1864
2013-08-09,-8.0134
2013-08-12,-5.1724
2013-08-13,2.9665
2013-08-14,3.6245000000000003
2013-08-15,2.1525
2013-08-16,-0.5268
2013-08-19,-5.1192
2013-08-20,-5.3953
2013-08-21,-1.8681999999999999
2013-08-22,2.6052
2013-08-23,0.4883
2013-08-26,-0.1944
2013-08-27,-0.8958
2013-08-28,5.4235
2013-08-29,4.5666
2013-08-30,0.713
2013-09-03,-0.0885
2013-09-04,0.3543
2013-09-05,3.7952
2013-09-06,1.1054
2013-09-09,1.2616
2013-09-10,1.7442
2013-09-11,10.7755
2013-09-12,2.8003
2013-09-13,8.3154
2013-09-16,0.728
2013-09-17,3.3509
2013-09-18,4.5772
2013-09-19,9.4833
2013-09-20,3.1094
2013-09-23,-1.2386
2013-09-24,-1.9628999999999999
2013-09-25,2.6696
2013-09-26,2.8711
2013-09-27,-2.2643
2013-09-30,-4.2565
2013-10-01,-3.9955
2013-10-02,2.5791
2013-10-03,-2.1714
2013-10-04,0.1752
2013-10-07,-1.1662
2013-10-08,1.1799
2013-10-09,-5.5394
2013-10-10,5.8025
2013-10-11,-1.2835
2013-10-14,-1.4184
2013-10-15,-1.8585
2013-10-16,3.482
2013-10-17,0.059
2013-10-18,-1.5339
2013-10-21,-0.7789
2013-10-22,-3.5628
2013-10-23,0.7514
2013-10-24,0.3729
2013-10-25,0.4954
2013-10-28,10.0431
2013-10-29,-0.168
2013-10-30,0.0561
2013-10-31,4.4843
2013-11-01,0.1609
2013-11-04,-2.2496
2013-11-05,1.863
