ticker,RUBY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-18,5.4348
2018-07-19,1.2371
2018-07-20,8.1059
2018-07-23,1.5072
2018-07-24,-8.1292
2018-07-25,-1.8182
2018-07-26,-3.251
2018-07-27,-7.8265
2018-07-30,1.3844
2018-07-31,-4.4151
2018-08-01,-2.6189999999999998
2018-08-02,2.2005
2018-08-03,-0.1914
2018-08-06,1.1985000000000001
2018-08-07,3.1265
2018-08-08,1.2862
2018-08-09,-0.5442
2018-08-10,8.3447
2018-08-13,-2.1044
2018-08-14,-4.0413
2018-08-15,-3.8978
2018-08-16,0.1865
2018-08-17,-0.8841
2018-08-20,6.4319
2018-08-21,2.7349
2018-08-22,5.2812
2018-08-23,4.9755
2018-08-24,-2.331
2018-08-27,-1.9491
2018-08-28,-0.6085
2018-08-29,1.5102
2018-08-30,0.5227
2018-08-31,0.48
2018-09-04,-1.871
2018-09-05,-6.288
2018-09-06,-5.4978
2018-09-07,-4.1228
2018-09-10,6.1156
2018-09-11,-7.1589
2018-09-12,-2.7157999999999998
2018-09-13,0.4487
2018-09-14,10.1241
2018-09-17,-2.6138
2018-09-18,1.342
2018-09-19,-6.5297
2018-09-20,2.5403000000000002
2018-09-21,8.7184
2018-09-24,1.4461
2018-09-25,0.9503
2018-09-26,0.0856
2018-09-27,1.8384
2018-09-28,0.7557
2018-10-01,-4.3333
2018-10-02,-3.3537
2018-10-03,-1.9378
2018-10-04,-8.5018
2018-10-05,-9.7941
2018-10-08,-5.2895
2018-10-09,-2.8219
2018-10-10,-1.9964
2018-10-11,5.0617
2018-10-12,5.7579
2018-10-15,-4.0556
2018-10-16,7.4696
2018-10-17,-4.2565
2018-10-18,-3.3765
2018-10-19,-0.233
2018-10-22,0.5838
2018-10-23,-6.3842
2018-10-24,-1.2399
2018-10-25,3.9548
2018-10-26,3.2609
2018-10-29,-2.2222
2018-10-30,-0.7177
2018-10-31,-1.0241
2018-11-01,11.6859
2018-11-02,-1.4169
2018-11-05,1.0503
2018-11-06,-2.2976
2018-11-07,-3.8074
2018-11-08,-2.0373
2018-11-09,-6.7736
2018-11-12,-6.1185
2018-11-13,19.3483
2018-11-14,5.0626
2018-11-15,10.1787
2018-11-16,-0.5897
2018-11-19,-4.1028
2018-11-20,-1.9072
2018-11-21,6.8839
2018-11-23,1.2783
2018-11-26,0.6311
2018-11-27,0.6271
2018-11-28,10.1151
2018-11-29,-5.3113
2018-11-30,-1.7010999999999998
2018-12-03,6.6885
