ticker,MDVT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-14,-2.3041
2000-02-17,2.8302
2000-04-11,2.7523
2000-06-20,17.8571
2000-10-04,-10.6061
2000-10-12,-3.3898
2000-10-30,0.8772
2001-01-05,-1.7391
2001-03-29,0.885
2001-05-11,-1.7544
2001-06-04,0.0
2001-06-12,-5.3571
2001-07-12,3.7736
2001-07-27,-0.3636
2001-08-01,-1.4599
2001-08-02,-3.7037
2001-08-06,0.9615
2001-08-17,-1.9048
2001-08-21,0.0
2001-09-28,0.9709
2002-01-02,3.8462
2002-01-11,4.8148
2002-03-01,-11.6608
2002-03-14,1.0
2002-04-10,14.8515
2002-04-18,-13.7931
2002-05-24,24.0
2002-09-04,-16.129
2002-12-11,3.8462
2003-01-02,3.7037
2003-01-03,46.4286
2003-01-08,6.0976
2003-03-11,0.0
2003-05-06,-5.7471
2003-07-29,-1.2195
2003-09-24,28.3951
2003-10-15,-11.538499999999999
2003-10-16,4.3478
2004-01-07,7.0833
2004-02-09,-2.7237
2004-02-19,1.0
2004-03-17,26.7327
2004-03-24,-20.625
2004-04-20,2.3622
2004-04-30,0.0
2004-05-03,15.3846
2004-05-20,3.3333
2004-06-03,0.0
2004-06-21,0.0
2004-08-20,0.0
2004-11-18,3.5484
2005-03-04,0.4673
2005-04-06,3.1008
2005-07-06,2.2556
2005-07-12,-1.4706000000000001
2005-07-14,1.4925
2005-07-27,-2.9412000000000003
2005-08-01,0.6061
2005-08-02,0.9036
2005-09-01,-1.4925
2006-01-05,-1.5152
2006-01-17,0.0
2006-05-31,0.0
2006-08-15,-7.6923
2006-08-24,6.6667
2006-09-14,-4.6875
2006-09-15,1.6393
2006-09-19,-6.4516
2006-09-25,5.1724
2006-10-18,-1.6393
2006-10-19,0.0
2006-12-20,1.6667
2006-12-26,-0.8197
2007-01-16,7.438
2007-01-22,0.0
2007-01-30,1.5385
2007-05-04,0.0
2007-06-05,-1.5152
2007-06-22,1.5385
2007-06-27,-3.0303
2007-06-28,3.125
2007-07-02,-3.0303
2007-09-05,1.5625
2007-09-21,-4.6154
2007-09-24,4.8387
2007-10-09,-1.5385
2007-10-31,0.0
2007-11-08,-6.25
2007-11-13,0.8333
2007-12-13,4.1322
2007-12-14,0.0
2007-12-26,-7.9365
2007-12-27,6.8966
2007-12-28,0.0
2008-01-07,1.2903
2008-01-08,0.0
2008-02-12,1.1146
2008-03-27,-2.3622
2008-04-02,-1.6129
2008-04-04,3.2787
2008-06-19,-1.5873
