ticker,ARNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-07-28,38.8889
2000-07-31,-5.0
2000-08-01,0.5263
2000-08-02,0.5236
2000-08-03,-1.5625
2000-08-04,1.5873
2000-08-07,11.9792
2000-08-08,11.6279
2000-08-09,-8.75
2000-08-10,-5.0228
2000-08-11,-1.4423
2000-08-14,-2.439
2000-08-15,-1.5
2000-08-16,1.5228000000000002
2000-08-17,9.0
2000-08-18,0.9174
2000-08-21,5.4545
2000-08-22,-1.7241
2000-08-23,5.2632
2000-08-24,-1.6667
2000-08-25,0.0
2000-08-28,13.5593
2000-08-29,1.6791
2000-08-30,4.2202
2000-08-31,30.2817
2000-09-01,-9.4595
2000-09-05,1.4925
2000-09-06,-8.8235
2000-09-07,3.2258
2000-09-08,0.0
2000-09-11,-2.5
2000-09-12,-5.2885
2000-09-13,1.8613
2000-09-14,5.3156
2000-09-15,0.1577
2000-09-18,-0.4724
2000-09-19,-5.3797
2000-09-20,-2.0067
2000-09-21,-5.1195
2000-09-22,-1.6187
2000-09-25,9.5064
2000-09-26,4.1736
2000-09-27,0.0
2000-09-28,2.8846
2000-09-29,7.1651
2000-10-02,-1.7442
2000-10-03,-1.7751000000000001
2000-10-04,0.6024
2000-10-05,1.9461
2000-10-06,-8.37
2000-10-09,-1.4423
2000-10-10,-13.1707
2000-10-11,1.1236
2000-10-12,-0.1852
2000-10-13,-0.9276
2000-10-16,-1.1236
2000-10-17,-8.7121
2000-10-18,-1.2448
2000-10-19,0.8403
2000-10-20,0.4167
2000-10-23,-0.4149
2000-10-24,7.9167
2000-10-25,8.1081
2000-10-26,-0.4018
2000-10-27,-2.1067
2000-10-30,-3.1136
2000-10-31,5.6711
2000-11-01,-0.9839
2000-11-02,0.813
2000-11-03,3.2258
2000-11-06,14.2361
2000-11-07,2.7356
2000-11-08,-2.9586
2000-11-09,-1.2195
2000-11-10,-3.6651
2000-11-13,-9.3312
2000-11-14,4.2403
2000-11-15,-0.5085
2000-11-16,1.1925
2000-11-17,-3.7037
2000-11-20,-5.2448
2000-11-21,-13.4686
2000-11-22,-11.3006
2000-11-24,-2.4038
2000-11-27,-2.4631
2000-11-28,-9.596
2000-11-29,-8.3799
2000-11-30,-4.878
2000-12-01,20.5128
2000-12-04,2.6596
2000-12-05,-3.1088
2000-12-06,-6.4171
2000-12-07,-10.857099999999999
2000-12-08,-1.2821
2000-12-11,-2.5974
2000-12-12,-8.6667
2000-12-13,-0.7299
2000-12-14,2.2059
