ticker,VSPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-26,1263.6364
2005-05-27,60.0
2005-05-31,6.25
2005-06-01,17.647100000000002
2005-06-06,-1.0
2005-06-08,1.0101
2005-06-10,30.0
2005-06-13,7.6923
2005-06-16,6.7143
2005-06-17,0.4016
2005-06-20,2.0
2005-06-21,17.647100000000002
2005-06-22,30.5556
2005-06-23,1.9574
2005-06-24,4.3406
2005-06-27,7.6
2005-06-28,4.0892
2005-06-29,14.2857
2005-06-30,4.0625
2005-07-01,3.6036
2005-07-05,10.1449
2005-07-06,5.5263
2005-07-07,5.4863
2005-07-08,1.6548
2005-07-11,1.1628
2005-07-12,4.3678
2005-07-13,4.185
2005-07-14,6.9767
2005-07-15,2.5692
2005-07-18,2.1195
2005-07-19,-23.5849
2005-07-20,13.5802
2005-07-21,1.087
2005-07-22,-3.2258
2005-07-25,-10.8889
2005-07-26,8.4788
2005-07-27,1.8391
2005-07-28,1.3544
2005-07-29,4.2316
2005-08-01,-1.9231
2005-08-02,-1.9607999999999999
2005-08-03,-5.5556
2005-08-04,0.4706
2005-08-05,0.7026
2005-08-08,-1.1628
2005-08-09,-5.8824
2005-08-10,-3.75
2005-08-11,3.8961
2005-08-12,0.0
2005-08-15,-1.25
2005-08-16,0.0
2005-08-17,1.2658
2005-08-18,0.0
2005-08-19,-1.0
2005-08-22,1.0101
2005-08-23,3.25
2005-08-24,3.1477
2005-08-25,-3.5211
2005-08-26,-2.6764
2005-08-29,-5.0
2005-08-30,2.6316
2005-08-31,-4.1026
2005-09-01,-1.3369
2005-09-02,-14.3631
2005-09-06,-22.4684
2005-09-07,12.2449
2005-09-08,9.0909
2005-09-09,0.0
2005-09-12,9.6667
2005-09-13,3.3435
2005-09-14,0.0
2005-09-15,2.9412000000000003
2005-09-16,11.4286
2005-09-19,1.2821
2005-09-20,-0.2532
2005-09-21,-1.2690000000000001
2005-09-22,-1.0283
2005-09-23,-5.1948
2005-09-26,-6.8493
2005-09-27,-6.4706
2005-09-28,6.9182
2005-09-29,4.4118
2005-09-30,-1.4085
2005-10-03,2.8571
2005-10-04,1.25
2005-10-05,-6.4472
2005-10-06,1.173
2005-10-07,-1.4493
2005-10-10,-2.9412000000000003
2005-10-11,4.5455
2005-10-12,2.6087
2005-10-13,-2.2599
2005-10-14,-1.7341
2005-10-17,-2.9412000000000003
2005-10-18,-9.0909
2005-10-19,-11.6667
2005-10-20,-5.6604
2005-10-21,-12.0
2005-10-24,17.7273
