ticker,UPWK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-03,41.2
2018-10-04,-1.0387
2018-10-05,0.1431
2018-10-08,-4.526
2018-10-09,-0.499
2018-10-10,0.3009
2018-10-11,-4.8
2018-10-12,0.8929
2018-10-15,1.1452
2018-10-16,3.9629
2018-10-17,-0.495
2018-10-18,-4.7761
2018-10-19,1.5674000000000001
2018-10-22,-2.5206
2018-10-23,-0.7916
2018-10-24,-8.2979
2018-10-25,13.109
2018-10-26,-4.1538
2018-10-29,-3.7453
2018-10-30,4.7248
2018-10-31,1.9108
2018-11-01,5.3646
2018-11-02,0.1483
2018-11-05,-4.541
2018-11-06,0.3102
2018-11-07,4.5876
2018-11-08,-10.9414
2018-11-09,-2.1583
2018-11-12,0.1131
2018-11-13,2.3164
2018-11-14,2.4295999999999998
2018-11-15,1.0243
2018-11-16,2.4546
2018-11-19,-14.2708
2018-11-20,-2.1871
2018-11-21,3.4161
2018-11-23,1.4414
2018-11-26,0.6513
2018-11-27,-1.7059
2018-11-28,5.5057
2018-11-29,2.3823
2018-11-30,3.2133
2018-12-03,1.3956
2018-12-04,-2.6469
2018-12-06,-1.9032
2018-12-07,-5.2661
2018-12-10,-2.9257
2018-12-11,-3.4961
2018-12-12,2.9981
2018-12-13,2.3044000000000002
2018-12-14,3.0824
2018-12-17,6.038
2018-12-18,5.423
2018-12-19,3.0864
2018-12-20,3.1437
2018-12-21,-5.3701
2018-12-24,-7.4642
2018-12-26,-2.6519
2018-12-27,1.5891
2018-12-28,-0.2235
2018-12-31,1.3998
2019-01-02,2.3192
2019-01-03,-3.5618
2019-01-04,4.0291
2019-01-07,0.5917
2019-01-08,2.2995
2019-01-09,1.0977999999999999
2019-01-10,-1.758
2019-01-11,-0.0526
2019-01-14,-1.0005
2019-01-15,0.9043
2019-01-16,0.1581
2019-01-17,0.3158
2019-01-18,-0.6296
2019-01-22,-3.3791
2019-01-23,0.4918
2019-01-24,2.7732
2019-01-25,0.4233
2019-01-28,-0.2107
2019-01-29,-0.3168
2019-01-30,-0.4237
2019-01-31,2.7128
2019-02-01,-3.7804
2019-02-04,2.2067
2019-02-05,9.0574
2019-02-06,7.0497
2019-02-07,-4.7361
2019-02-08,-2.6042
2019-02-11,6.806
2019-02-12,2.0027
2019-02-13,-0.8032
2019-02-14,4.2735
2019-02-15,-4.8318
2019-02-19,3.8078
2019-02-20,-2.0087
2019-02-21,-1.9162
2019-02-22,3.2258
2019-02-25,-0.9683
2019-02-26,1.1111
