ticker,KULR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-19,16.6667
2018-07-20,6.8571
2018-07-23,49.7326
2018-07-24,2.1429
2018-07-26,-3.1469
2018-07-27,-2.5271
2018-07-30,0.0
2018-07-31,0.0
2018-08-01,0.0
2018-08-02,4.4444
2018-08-03,2.1277
2018-08-06,0.0
2018-08-23,-2.7778
2018-08-30,-3.5714
2018-08-31,0.0
2018-09-10,-0.3704
2018-09-17,0.3717
2018-09-21,0.0
2018-10-16,18.5185
2018-10-18,0.0
2018-10-19,0.0
2018-10-22,1.5625
2018-10-25,-1.5385
2018-10-29,32.8125
2018-10-30,0.0
2018-10-31,-17.8824
2018-11-09,-25.5014
2018-11-13,-7.6923
2018-11-14,-0.4167
2018-11-16,0.4184
2018-11-19,0.0
2018-11-26,0.0
2018-12-13,0.0
2018-12-14,8.3333
2018-12-17,-7.6923
2018-12-18,6.25
2018-12-19,1.9607999999999999
2018-12-21,-7.6923
2018-12-24,12.5
2018-12-31,-3.7037
2019-01-04,0.0
2019-01-07,0.0
2019-01-11,-0.7692
2019-01-15,0.7752
2019-01-18,0.0
2019-01-22,3.0769
2019-01-24,0.0
2019-01-29,-1.1194
2019-02-04,1.8868
2019-02-11,48.1481
2019-02-12,-5.0
2019-02-20,-0.2632
2019-02-21,-9.2348
2019-02-22,-8.4302
2019-02-27,-20.634900000000002
2019-02-28,-20.0
2019-03-01,0.0
2019-03-04,0.0
2019-03-05,22.5
2019-03-06,2.0408
2019-03-15,0.0
2019-03-20,0.0
2019-03-22,0.0
2019-04-02,-10.0
2019-04-03,0.0
2019-04-05,-0.4444
2019-04-10,-1.7856999999999998
2019-04-23,-20.0
2019-04-24,22.1591
2019-05-02,-6.9767
2019-05-14,5.0
2019-05-15,-4.7619
2019-05-16,0.0
2019-05-21,-0.5
2019-05-30,0.0
2019-06-03,0.0
2019-06-04,0.5025
2019-06-07,-5.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-13,-0.5263
2019-06-19,5.8201
2019-06-21,-10.0
2019-06-25,2.7778
2019-06-28,1.6216
2019-07-12,-9.5745
2019-07-23,0.0
2019-07-25,-2.9412000000000003
2019-07-26,3.0303
2019-08-05,0.0
2019-08-06,0.0
2019-08-21,0.0
2019-08-29,0.0
2019-09-03,0.0
2019-09-04,-3.5294
2019-09-06,3.6585
2019-09-09,-2.9412000000000003
2019-09-10,-1.0909
2019-09-12,-1.9607999999999999
2019-09-13,0.0
2019-09-18,6.25
2019-09-20,0.0
