ticker,AFFY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-15,35.52
2006-12-18,9.7993
2006-12-19,-7.2581
2006-12-20,-2.029
2006-12-21,2.1006
2006-12-22,-0.8983
2006-12-26,-0.848
2006-12-27,0.5603
2006-12-28,-0.2933
2006-12-29,0.1176
2007-01-03,-5.5523
2007-01-04,3.7325
2007-01-05,1.8591
2007-01-08,-2.7083
2007-01-09,-1.1195
2007-01-10,-0.153
2007-01-11,1.1339
2007-01-12,-0.303
2007-01-16,0.0
2007-01-17,-0.7599
2007-01-18,0.4594
2007-01-19,2.1341
2007-01-22,-1.2239
2007-01-23,-0.272
2007-01-24,6.0606
2007-01-25,0.0286
2007-01-26,2.8278
2007-01-29,0.4444
2007-01-30,1.6316000000000002
2007-01-31,0.1905
2007-02-01,1.0592
2007-02-02,0.1075
2007-02-05,7.0336
2007-02-06,1.4546999999999999
2007-02-07,-1.6069
2007-02-08,0.5025
2007-02-09,0.625
2007-02-12,0.5466
2007-02-13,-0.6672
2007-02-14,-0.4975
2007-02-15,-0.4
2007-02-16,-0.3263
2007-02-20,-0.6044
2007-02-21,-1.3985
2007-02-22,-0.8942
2007-02-23,-1.4519
2007-02-26,0.0
2007-02-27,-3.5517
2007-02-28,-2.8642
2007-03-01,-1.8815
2007-03-02,-2.6616999999999997
2007-03-05,5.3514
2007-03-06,4.1027
2007-03-07,-2.3324
2007-03-08,-3.1018
2007-03-09,-2.4079
2007-03-12,-5.1959
2007-03-13,-2.9394
2007-03-14,0.8833
2007-03-15,-0.9068
2007-03-16,3.2818
2007-03-19,3.483
2007-03-20,6.023
2007-03-21,-0.1389
2007-03-22,-2.1197
2007-03-23,-1.7094
2007-03-26,-1.4493
2007-03-27,-0.2941
2007-03-28,-0.5015
2007-03-29,-1.0673
2007-03-30,-3.5061
2007-04-02,-0.6211
2007-04-03,-6.3438
2007-04-04,-0.5005
2007-04-05,3.6217
2007-04-09,4.3366
2007-04-10,0.7444
2007-04-11,-0.8621
2007-04-12,-0.6211
2007-04-13,1.0
2007-04-16,1.8255
2007-04-17,-0.0304
2007-04-18,0.306
2007-04-19,1.3918
2007-04-20,4.5129
2007-04-23,-1.3439999999999999
2007-04-24,-1.5362
2007-04-25,-1.4424000000000001
2007-04-26,1.5532
2007-04-27,1.0588
2007-04-30,3.2014
2007-05-01,3.6097
2007-05-02,5.0626
2007-05-03,2.0725
2007-05-04,-8.6548
2007-05-07,1.7227000000000001
2007-05-08,-1.475
2007-05-09,-0.5545
