ticker,TARA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-22,0.3
2014-10-23,-0.2991
2014-10-24,0.0
2014-10-27,0.0
2014-10-28,0.0
2014-10-29,0.1
2014-10-30,-0.0999
2014-10-31,0.0
2014-11-03,2.0
2014-11-04,0.4902
2014-11-05,-0.0976
2014-11-06,0.0
2014-11-07,-0.8789
2014-11-10,-0.5911
2014-11-11,0.0991
2014-11-12,-0.5941
2014-11-13,-0.3984
2014-11-14,0.98
2014-11-17,2.5946
2014-11-18,-0.4826
2014-11-19,-0.291
2014-11-20,-0.5837
2014-11-21,1.1742
2014-11-24,1.0638
2014-11-25,-0.3828
2014-11-26,2.2094
2014-11-28,-0.9175
2014-12-01,-1.2556
2014-12-02,-3.4582
2014-12-03,-10.3483
2014-12-04,0.444
2014-12-05,-3.0939
2014-12-08,2.0525
2014-12-09,14.6369
2014-12-10,0.0975
2014-12-11,-3.9922
2014-12-12,-0.7099
2014-12-15,3.0644
2014-12-16,1.8831
2014-12-17,-2.0428
2014-12-18,1.1917
2014-12-19,0.0
2014-12-22,3.0422
2014-12-23,-2.5714
2014-12-24,1.6618
2014-12-26,-5.5769
2014-12-29,2.5458
2014-12-30,2.1847
2014-12-31,1.069
2015-01-02,1.9231
2015-01-05,0.283
2015-01-06,0.1881
2015-01-07,-0.3756
2015-01-08,0.0943
2015-01-09,10.5461
2015-01-12,2.2147
2015-01-13,2.9167
2015-01-14,-3.9676
2015-01-15,-3.1197
2015-01-16,-1.3054999999999999
2015-01-20,1.1464
2015-01-21,-5.3182
2015-01-22,6.2615
2015-01-23,-5.9792
2015-01-26,-1.106
2015-01-27,0.5592
2015-01-28,-1.2048
2015-01-29,-1.4071
2015-01-30,-0.0951
2015-02-02,-0.8571
2015-02-03,0.4803
2015-02-04,6.2141
2015-02-05,-0.7201
2015-02-06,0.1813
2015-02-09,-4.9774
2015-02-10,0.5714
2015-02-11,-0.5682
2015-02-12,-0.4762
2015-02-13,0.0
2015-02-17,0.4785
2015-02-18,0.2857
2015-02-19,2.5641
2015-02-20,-2.2222
2015-02-23,-0.0947
2015-02-24,2.3697
2015-02-25,-1.5741
2015-02-26,0.1881
2015-02-27,1.5023
2015-03-02,-1.0638
2015-03-03,-2.9453
2015-03-04,2.0231
2015-03-05,-1.8885999999999998
2015-03-06,0.9625
2015-03-09,-0.6673
2015-03-10,0.9597
2015-03-11,3.8023
2015-03-12,3.1136
2015-03-13,-0.0888
2015-03-16,0.6222
2015-03-17,2.0318
