ticker,AITA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-12,12700.0
2013-06-14,9.375
2013-06-24,14.2857
2013-07-19,-12.5
2013-07-26,14.2857
2013-08-14,-2.5
2013-08-15,7.6923
2013-08-28,-4.7619
2013-08-30,2.0
2013-09-06,-1.9607999999999999
2013-09-10,0.0
2013-09-17,0.0
2014-04-03,1.0
2014-04-14,-38.1188
2014-04-15,69.6
2014-08-22,1.4151
2014-08-27,0.0
2014-08-28,0.0
2014-09-02,0.0
2014-09-03,-4.6512
2015-02-02,-26.8293
2015-11-13,-66.0
2016-01-27,-29.4118
2016-01-29,-16.6667
2016-03-28,0.0
2018-01-26,70.0
2018-02-01,0.0
2018-04-25,9.8039
2018-05-15,-46.4286
2019-02-11,66.6667
2019-02-13,19.6
2019-02-14,45.8696
2019-02-15,14.6395
2019-02-19,19.0
2019-02-20,15.9664
2019-02-21,23.913
2019-02-22,0.0
2019-02-25,16.9591
2019-02-26,13.5
2019-02-27,16.2996
2019-02-28,17.4242
2019-03-01,20.9677
2019-03-04,13.8667
2019-03-05,22.9508
2019-03-06,8.9524
2019-03-07,-12.5874
2019-03-08,-3.8
2019-03-11,-58.42
2019-03-12,37.5
2019-03-14,-9.0909
2019-03-18,-0.4
2019-03-21,0.4016
2019-03-22,-40.8
2019-03-25,27.7027
2019-03-26,21.6931
2019-04-03,0.0
2019-04-08,0.0
2019-04-09,0.0
2019-04-10,-34.7826
2019-04-11,14.0
2019-04-12,-26.9006
2019-04-15,-4.0
2019-04-16,-25.0
2019-04-18,5.0
2019-04-22,32.2751
2019-04-23,46.4
2019-04-24,0.0
2019-04-25,6.5574
2019-04-26,38.9744
2019-04-29,-8.4871
2019-04-30,-11.2903
2019-05-01,-5.0
2019-05-02,0.0
2019-05-03,10.0478
2019-05-06,-4.3478
2019-05-07,0.0
2019-05-08,0.9091
2019-05-09,-1.8018
2019-05-10,13.3028
2019-05-13,-10.526299999999999
2019-05-14,-0.4525
2019-05-15,-0.9091
2019-05-29,-7.7982
2019-06-03,-4.9751
2019-06-11,0.0
2019-06-14,-8.9005
2019-06-19,1.1494
2019-08-02,-43.1818
2019-08-06,-9.0
2019-08-19,-27.4725
2019-08-22,-24.2424
2019-09-05,-18.0
2019-09-06,-40.1951
2019-09-12,0.0
2019-09-16,-29.9755
2019-09-27,0.0
2019-10-01,0.0
2019-10-03,-53.4071
2019-10-08,0.0
2019-10-09,-12.5
2019-10-10,-14.2857
2019-10-11,-16.6667
2019-11-05,-60.0
2019-11-06,-25.0
2019-11-26,-33.3333
2020-01-10,100.0
2020-02-06,-50.0
2020-03-04,400.0
2020-03-24,0.0
2020-03-26,32.0
2020-04-06,-84.8485
2020-04-24,-75.0
2020-05-04,-56.0
2020-07-20,6263.6364
2020-07-22,0.0
2020-07-24,185.7143
