ticker,MARK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-04,-7.9780999999999995
2007-10-05,-7.3634
2007-10-08,-8.461500000000001
2007-10-09,0.2801
2007-10-10,-0.838
2007-10-11,17.4648
2007-10-12,17.2662
2007-10-15,-23.9264
2007-10-16,-5.1075
2007-10-17,-5.5241
2007-10-18,-5.6972000000000005
2007-10-19,-6.5183
2007-10-22,-6.9728
2007-10-23,9.1408
2007-10-24,-6.7085
2007-10-25,-1.0683
2007-10-26,3.9927
2007-10-29,22.6876
2007-10-30,-2.4182
2007-10-31,1.0204
2007-11-01,-2.5974
2007-11-02,1.9259
2007-11-05,3.1977
2007-11-06,0.5634
2007-11-07,-2.1008
2007-11-08,5.0072
2007-11-09,-4.2234
2007-11-12,0.0
2007-11-13,1.9915
2007-11-14,-1.9526
2007-11-15,-0.4267
2007-11-16,0.8571
2007-11-19,-7.0822
2007-11-20,-7.3171
2007-11-21,-8.5526
2007-11-23,0.8993
2007-11-26,-9.0909
2007-11-27,0.7843
2007-11-28,11.6732
2007-11-29,-2.0906
2007-11-30,-5.694
2007-12-03,-9.434
2007-12-04,-4.1667
2007-12-05,6.7418
2007-12-06,7.5329
2007-12-07,-4.1667
2007-12-10,-2.3715
2007-12-11,1.6194
2007-12-12,0.0
2007-12-13,-6.1753
2007-12-14,-1.9108
2007-12-17,-6.71
2007-12-18,1.8561
2007-12-19,12.9841
2007-12-20,-3.4274
2007-12-21,4.1754
2007-12-24,9.6192
2007-12-26,2.925
2007-12-27,-6.7496
2007-12-28,9.3333
2007-12-31,8.5366
2008-01-02,-11.557
2008-01-03,-8.892900000000001
2008-01-04,-11.3546
2008-01-07,1.1236
2008-01-08,-4.4444
2008-01-09,0.0
2008-01-10,-1.1628
2008-01-11,-2.3529
2008-01-14,-1.2048
2008-01-15,-6.0976
2008-01-16,-6.2338000000000005
2008-01-17,-4.1551
2008-01-18,5.2023
2008-01-22,13.1868
2008-01-23,1.6989999999999998
2008-01-24,9.5465
2008-01-25,-8.2789
2008-01-28,5.7007
2008-01-29,-4.7191
2008-01-30,-5.4245
2008-01-31,0.0
2008-02-01,-4.2394
2008-02-04,-7.2917
2008-02-05,-4.2135
2008-02-06,-1.7595
2008-02-07,-0.597
2008-02-08,6.3063
2008-02-11,0.565
2008-02-12,8.1461
2008-02-13,1.2987
2008-02-14,-0.5128
2008-02-15,-10.0515
2008-02-19,6.5903
2008-02-20,15.0538
2008-02-21,-0.4673
2008-02-22,9.8592
2008-02-25,1.7094
